protein_id,reaction_id
Q071N0,RHEA:10108
G5EFH8,RHEA:10112
P32232,RHEA:10112
P32582,RHEA:10112
P35520,RHEA:10112
P46794,RHEA:10112
P9WP50,RHEA:10112
Q2V0C9,RHEA:10112
Q58H57,RHEA:10112
Q91WT9,RHEA:10112
Q9N0V7,RHEA:10112
Q9N4K2,RHEA:10112
Q9YBL2,RHEA:10112
C8VP36,RHEA:10116
O13287,RHEA:10116
O60037,RHEA:10116
O83351,RHEA:10116
O84066,RHEA:10116
P00349,RHEA:10116
P00350,RHEA:10116
P14062,RHEA:10116
P14332,RHEA:10116
P21577,RHEA:10116
P31072,RHEA:10116
P37754,RHEA:10116
P37756,RHEA:10116
P38720,RHEA:10116
P41570,RHEA:10116
P41572,RHEA:10116
P41573,RHEA:10116
P41574,RHEA:10116
P41575,RHEA:10116
P41576,RHEA:10116
P41577,RHEA:10116
P41578,RHEA:10116
P41579,RHEA:10116
P41580,RHEA:10116
P41581,RHEA:10116
P41582,RHEA:10116
P41583,RHEA:10116
P43774,RHEA:10116
P52207,RHEA:10116
P52208,RHEA:10116
P52209,RHEA:10116
P53319,RHEA:10116
P57208,RHEA:10116
P70718,RHEA:10116
P78812,RHEA:10116
P80859,RHEA:10116
P85968,RHEA:10116
P96789,RHEA:10116
Q17761,RHEA:10116
Q2R480,RHEA:10116
Q6GGI7,RHEA:10116
Q7VMX4,RHEA:10116
Q89AX5,RHEA:10116
Q8CP47,RHEA:10116
Q8TA03,RHEA:10116
Q931R3,RHEA:10116
Q94KU1,RHEA:10116
Q94KU2,RHEA:10116
Q9CHU6,RHEA:10116
Q9DCD0,RHEA:10116
Q9FFR3,RHEA:10116
Q9FWA3,RHEA:10116
Q9LI00,RHEA:10116
Q9PKX7,RHEA:10116
Q9SH69,RHEA:10116
Q9Z8I3,RHEA:10116
Q9ZHD9,RHEA:10116
P51400,RHEA:10120
P78563,RHEA:10120
Q22618,RHEA:10120
Q91ZS8,RHEA:10120
Q47PU3,RHEA:10124
K4C9E2,RHEA:10128
Q9M424,RHEA:10128
I3PB37,RHEA:10132
O70490,RHEA:10132
Q08AH1,RHEA:10132
Q08AH3,RHEA:10132
Q53005,RHEA:10132
Q68CK6,RHEA:10132
Q8GQN9,RHEA:10132
Q8K0L3,RHEA:10132
Q91VA0,RHEA:10132
Q9BEA2,RHEA:10132
Q9SS01,RHEA:10132
P0AEP8,RHEA:10136
P05980,RHEA:10140
P42330,RHEA:10140
P52897,RHEA:10140
Q5R7C9,RHEA:10140
A1JJT7,RHEA:10144
A4WDU9,RHEA:10144
A7MJ60,RHEA:10144
A8ANV8,RHEA:10144
A8G9Z5,RHEA:10144
A9MF31,RHEA:10144
A9N2D0,RHEA:10144
B2VG26,RHEA:10144
B4F224,RHEA:10144
B5XV37,RHEA:10144
B7LWJ1,RHEA:10144
B7LXF6,RHEA:10144
B7N6X4,RHEA:10144
B7NT88,RHEA:10144
B7UHG3,RHEA:10144
C5BGI8,RHEA:10144
P08331,RHEA:10144
P0A840,RHEA:10144
P24504,RHEA:10144
P26265,RHEA:10144
P44764,RHEA:10144
P53052,RHEA:10144
Q0T1H5,RHEA:10144
Q2NVM2,RHEA:10144
Q32CI6,RHEA:10144
Q57KJ7,RHEA:10144
Q5PEG4,RHEA:10144
Q66EC0,RHEA:10144
Q7N8K4,RHEA:10144
Q83JY2,RHEA:10144
Q8D2P7,RHEA:10144
Q8ZBP9,RHEA:10144
P0C2P0,RHEA:10148
P0C2P1,RHEA:10148
P0CI02,RHEA:10148
P33967,RHEA:10148
O31019,RHEA:10152
O53090,RHEA:10152
O59023,RHEA:10152
O86134,RHEA:10152
O96432,RHEA:10152
O97438,RHEA:10152
P0A2X7,RHEA:10152
P13982,RHEA:10152
P37306,RHEA:10152
P44769,RHEA:10152
P59625,RHEA:10152
P74733,RHEA:10152
P95474,RHEA:10152
Q2FKJ8,RHEA:10152
Q2YWH4,RHEA:10152
Q2YXF2,RHEA:10152
Q46171,RHEA:10152
Q48295,RHEA:10152
Q4L9V7,RHEA:10152
Q5HKJ3,RHEA:10152
Q5JHG5,RHEA:10152
Q6G642,RHEA:10152
Q6GDH0,RHEA:10152
Q6GHR6,RHEA:10152
Q7X2S2,RHEA:10152
Q8CTX1,RHEA:10152
Q8CU42,RHEA:10152
Q8FK51,RHEA:10152
Q8G997,RHEA:10152
Q8VW54,RHEA:10152
Q8XCV5,RHEA:10152
Q92ZT0,RHEA:10152
Q97C45,RHEA:10152
Q99UU0,RHEA:10152
Q9HII9,RHEA:10152
Q9UWF8,RHEA:10152
P07846,RHEA:10160
P27867,RHEA:10160
Q00796,RHEA:10160
Q02912,RHEA:10160
Q06004,RHEA:10160
Q4R639,RHEA:10160
Q58D31,RHEA:10160
Q59787,RHEA:10160
Q5R5F3,RHEA:10160
Q64442,RHEA:10160
Q9Z9U1,RHEA:10160
A0A509AQ68,RHEA:10164
A0B7E8,RHEA:10164
A0JU21,RHEA:10164
A0KGH3,RHEA:10164
A0KU82,RHEA:10164
A0L7X8,RHEA:10164
A0LEC9,RHEA:10164
A0LW71,RHEA:10164
A0M568,RHEA:10164
A0PW55,RHEA:10164
A0PYP4,RHEA:10164
A0Q5J9,RHEA:10164
A0R3B8,RHEA:10164
A0RMH2,RHEA:10164
A1A143,RHEA:10164
A1APJ8,RHEA:10164
A1AW20,RHEA:10164
A1B9D2,RHEA:10164
A1BD13,RHEA:10164
A1JJR4,RHEA:10164
A1K7F6,RHEA:10164
A1KUB6,RHEA:10164
A1R485,RHEA:10164
A1S4D7,RHEA:10164
A1SF66,RHEA:10164
A1SSQ7,RHEA:10164
A1TEE4,RHEA:10164
A1TLS5,RHEA:10164
A1TZ48,RHEA:10164
A1US94,RHEA:10164
A1VLH1,RHEA:10164
A1W4R1,RHEA:10164
A1WL86,RHEA:10164
A1WWZ2,RHEA:10164
A2BP03,RHEA:10164
A2BUI5,RHEA:10164
A2C038,RHEA:10164
A2CDE2,RHEA:10164
A2SJR2,RHEA:10164
A2SSV1,RHEA:10164
A3CMA7,RHEA:10164
A3DBQ5,RHEA:10164
A3PAS6,RHEA:10164
A3QC77,RHEA:10164
A4F804,RHEA:10164
A4FZA6,RHEA:10164
A4G737,RHEA:10164
A4ISP4,RHEA:10164
A4JFY5,RHEA:10164
A4SGL6,RHEA:10164
A4SRC1,RHEA:10164
A4SXE9,RHEA:10164
A4T6L5,RHEA:10164
A4W2T1,RHEA:10164
A4WDW7,RHEA:10164
A4WR18,RHEA:10164
A4X3B7,RHEA:10164
A4XKV0,RHEA:10164
A4XWS1,RHEA:10164
A4Y943,RHEA:10164
A4YHC1,RHEA:10164
A4YVC0,RHEA:10164
A5CTA8,RHEA:10164
A5CX71,RHEA:10164
A5EK13,RHEA:10164
A5EW24,RHEA:10164
A5FN12,RHEA:10164
A5FRM5,RHEA:10164
A5FUW3,RHEA:10164
A5GEW5,RHEA:10164
A5GPE0,RHEA:10164
A5IDM2,RHEA:10164
A5IIQ6,RHEA:10164
A5IYA8,RHEA:10164
A5UDD6,RHEA:10164
A5UI73,RHEA:10164
A5V1W0,RHEA:10164
A5V3E8,RHEA:10164
A5VQQ7,RHEA:10164
A5WG13,RHEA:10164
A6GZ69,RHEA:10164
A6L3M9,RHEA:10164
A6LJF0,RHEA:10164
A6LR09,RHEA:10164
A6NNW6,RHEA:10164
A6Q5K4,RHEA:10164
A6SXG3,RHEA:10164
A6TD53,RHEA:10164
A6TU30,RHEA:10164
A6U8E5,RHEA:10164
A6US08,RHEA:10164
A6UUM2,RHEA:10164
A6VJ31,RHEA:10164
A6VR00,RHEA:10164
A6VUU9,RHEA:10164
A6W6X2,RHEA:10164
A6X0L8,RHEA:10164
A7FQP0,RHEA:10164
A7GUR7,RHEA:10164
A7H0M5,RHEA:10164
A7H622,RHEA:10164
A7HCC4,RHEA:10164
A7HNS8,RHEA:10164
A7HXW7,RHEA:10164
A7I455,RHEA:10164
A7INB6,RHEA:10164
A7MQZ0,RHEA:10164
A7NFI9,RHEA:10164
A7Z8Y1,RHEA:10164
A7ZFN1,RHEA:10164
A8AY46,RHEA:10164
A8EWY0,RHEA:10164
A8FHJ0,RHEA:10164
A8FNY3,RHEA:10164
A8FSS8,RHEA:10164
A8G2L5,RHEA:10164
A8G9W1,RHEA:10164
A8H1S5,RHEA:10164
A8IBF3,RHEA:10164
A8L149,RHEA:10164
A8LQL4,RHEA:10164
A8M2Y3,RHEA:10164
A8MFY2,RHEA:10164
A8YUV4,RHEA:10164
A8ZSY5,RHEA:10164
A9AGW2,RHEA:10164
A9BDH2,RHEA:10164
A9BIS7,RHEA:10164
A9FA52,RHEA:10164
A9HJ75,RHEA:10164
A9IIP8,RHEA:10164
A9IS50,RHEA:10164
A9KDH7,RHEA:10164
A9KQ46,RHEA:10164
A9KYH0,RHEA:10164
A9LZL4,RHEA:10164
A9NF93,RHEA:10164
A9R1D1,RHEA:10164
A9UMP7,RHEA:10164
A9VQ48,RHEA:10164
A9W6G9,RHEA:10164
A9WCM4,RHEA:10164
B0BA40,RHEA:10164
B0BM20,RHEA:10164
B0BQ53,RHEA:10164
B0C9F0,RHEA:10164
B0CGT2,RHEA:10164
B0JMP6,RHEA:10164
B0K6X6,RHEA:10164
B0K882,RHEA:10164
B0KSB9,RHEA:10164
B0RH60,RHEA:10164
B0S1G7,RHEA:10164
B0SRL5,RHEA:10164
B0SYX8,RHEA:10164
B0TK04,RHEA:10164
B0V677,RHEA:10164
B0VQI4,RHEA:10164
B1GYL7,RHEA:10164
B1HVS4,RHEA:10164
B1IDB9,RHEA:10164
B1JB38,RHEA:10164
B1KPT6,RHEA:10164
B1KTJ8,RHEA:10164
B1LCF4,RHEA:10164
B1LZU6,RHEA:10164
B1MKG1,RHEA:10164
B1MVW3,RHEA:10164
B1V8R6,RHEA:10164
B1VFL0,RHEA:10164
B1XLD0,RHEA:10164
B1XUR8,RHEA:10164
B1Y4K4,RHEA:10164
B1YLD8,RHEA:10164
B1ZEJ8,RHEA:10164
B2A6Z1,RHEA:10164
B2FK88,RHEA:10164
B2GAM0,RHEA:10164
B2GM13,RHEA:10164
B2HDI5,RHEA:10164
B2IKR4,RHEA:10164
B2J1R2,RHEA:10164
B2JIX0,RHEA:10164
B2K561,RHEA:10164
B2KBA5,RHEA:10164
B2RLL7,RHEA:10164
B2S044,RHEA:10164
B2SXU9,RHEA:10164
B2TPW4,RHEA:10164
B2U9C3,RHEA:10164
B2URY4,RHEA:10164
B2UY16,RHEA:10164
B2V9N8,RHEA:10164
B2VFY8,RHEA:10164
B3CNP3,RHEA:10164
B3E2S8,RHEA:10164
B3EEQ2,RHEA:10164
B3EL51,RHEA:10164
B3EUH8,RHEA:10164
B3GY00,RHEA:10164
B3PJB3,RHEA:10164
B3PNH6,RHEA:10164
B3Q6L0,RHEA:10164
B3QQT2,RHEA:10164
B3QXY4,RHEA:10164
B3R499,RHEA:10164
B3WCW7,RHEA:10164
B4EUF7,RHEA:10164
B4RBW1,RHEA:10164
B4RVU5,RHEA:10164
B4S487,RHEA:10164
B4SGB2,RHEA:10164
B4SR86,RHEA:10164
B4U9X7,RHEA:10164
B4UDM8,RHEA:10164
B5DGQ7,RHEA:10164
B5FAF9,RHEA:10164
B5FTU9,RHEA:10164
B5RLS2,RHEA:10164
B5RRF1,RHEA:10164
B5XV19,RHEA:10164
B5YF30,RHEA:10164
B5Z9S9,RHEA:10164
B5ZAZ0,RHEA:10164
B5ZNA1,RHEA:10164
B6EKL8,RHEA:10164
B6IQ30,RHEA:10164
B6JFY2,RHEA:10164
B6JPQ2,RHEA:10164
B6YQN5,RHEA:10164
B6YUB8,RHEA:10164
B7GTK2,RHEA:10164
B7I918,RHEA:10164
B7IFN4,RHEA:10164
B7IP20,RHEA:10164
B7J1R2,RHEA:10164
B7J6R4,RHEA:10164
B7JW48,RHEA:10164
B7KL24,RHEA:10164
B7KRB4,RHEA:10164
B8CJP6,RHEA:10164
B8D9J5,RHEA:10164
B8DTI9,RHEA:10164
B8E0W1,RHEA:10164
B8E8T1,RHEA:10164
B8EJT3,RHEA:10164
B8F8L5,RHEA:10164
B8FKT4,RHEA:10164
B8GAX5,RHEA:10164
B8GQ75,RHEA:10164
B8HEU5,RHEA:10164
B8HQY9,RHEA:10164
B8I4U1,RHEA:10164
B8J467,RHEA:10164
B8JAC4,RHEA:10164
B9DJJ9,RHEA:10164
B9DRR9,RHEA:10164
B9E6B1,RHEA:10164
B9EAH1,RHEA:10164
B9JEY7,RHEA:10164
B9JW75,RHEA:10164
B9KA91,RHEA:10164
B9KEN0,RHEA:10164
B9L7U3,RHEA:10164
B9LPW6,RHEA:10164
B9M3M1,RHEA:10164
B9MEQ4,RHEA:10164
B9MS47,RHEA:10164
C0MH89,RHEA:10164
C0PXD5,RHEA:10164
C0QI43,RHEA:10164
C0QRV6,RHEA:10164
C0R5N4,RHEA:10164
C0Z6L3,RHEA:10164
C1A306,RHEA:10164
C1A7Y3,RHEA:10164
C1AY93,RHEA:10164
C1CRM6,RHEA:10164
C1CXJ3,RHEA:10164
C1DCC3,RHEA:10164
C1F9E6,RHEA:10164
C1FQW6,RHEA:10164
C3KZ49,RHEA:10164
C3MBJ9,RHEA:10164
C3MPU0,RHEA:10164
C3NE30,RHEA:10164
C3NHN3,RHEA:10164
C3PFA7,RHEA:10164
C4K4K1,RHEA:10164
C4KH32,RHEA:10164
C4L5H4,RHEA:10164
C4LBR1,RHEA:10164
C4LHL7,RHEA:10164
C4XLR9,RHEA:10164
C4Z1M9,RHEA:10164
C4ZZT2,RHEA:10164
C5A2S7,RHEA:10164
C5B8X2,RHEA:10164
C5C093,RHEA:10164
C5C987,RHEA:10164
C5CSV6,RHEA:10164
C5D7M1,RHEA:10164
C6BSL8,RHEA:10164
C6DDJ5,RHEA:10164
C6E471,RHEA:10164
I0J1J1,RHEA:10164
O02654,RHEA:10164
O26149,RHEA:10164
O29133,RHEA:10164
O30885,RHEA:10164
O32513,RHEA:10164
O51312,RHEA:10164
O52191,RHEA:10164
O57391,RHEA:10164
O59605,RHEA:10164
O66778,RHEA:10164
O69174,RHEA:10164
O74286,RHEA:10164
O85348,RHEA:10164
P00924,RHEA:10164
P00925,RHEA:10164
P04764,RHEA:10164
P06733,RHEA:10164
P07322,RHEA:10164
P07323,RHEA:10164
P08734,RHEA:10164
P09104,RHEA:10164
P0CX11,RHEA:10164
P0DM31,RHEA:10164
P13929,RHEA:10164
P15007,RHEA:10164
P15429,RHEA:10164
P17182,RHEA:10164
P17183,RHEA:10164
P19140,RHEA:10164
P21550,RHEA:10164
P25696,RHEA:10164
P25704,RHEA:10164
P26300,RHEA:10164
P26301,RHEA:10164
P29201,RHEA:10164
P30575,RHEA:10164
P31683,RHEA:10164
P33675,RHEA:10164
P33676,RHEA:10164
P37869,RHEA:10164
P40370,RHEA:10164
P42040,RHEA:10164
P42222,RHEA:10164
P42448,RHEA:10164
P42894,RHEA:10164
P42895,RHEA:10164
P42896,RHEA:10164
P42897,RHEA:10164
P47647,RHEA:10164
P48285,RHEA:10164
P51555,RHEA:10164
P51913,RHEA:10164
P56252,RHEA:10164
P57492,RHEA:10164
P57975,RHEA:10164
P59566,RHEA:10164
P64075,RHEA:10164
P74934,RHEA:10164
P75189,RHEA:10164
P77972,RHEA:10164
P84208,RHEA:10164
P84541,RHEA:10164
P86210,RHEA:10164
P9WNL0,RHEA:10164
Q01YD1,RHEA:10164
Q030Y9,RHEA:10164
Q032H8,RHEA:10164
Q03AK4,RHEA:10164
Q03GW5,RHEA:10164
Q03LI0,RHEA:10164
Q03SL5,RHEA:10164
Q03ZK4,RHEA:10164
Q042F4,RHEA:10164
Q043Z5,RHEA:10164
Q04DH2,RHEA:10164
Q04KG2,RHEA:10164
Q050L5,RHEA:10164
Q057H3,RHEA:10164
Q07ND9,RHEA:10164
Q086B0,RHEA:10164
Q08BC6,RHEA:10164
Q0A7K4,RHEA:10164
Q0AD93,RHEA:10164
Q0APT2,RHEA:10164
Q0B080,RHEA:10164
Q0BDS3,RHEA:10164
Q0BKV1,RHEA:10164
Q0BSX3,RHEA:10164
Q0C0R3,RHEA:10164
Q0HXH0,RHEA:10164
Q0I1Z1,RHEA:10164
Q0I6K2,RHEA:10164
Q0KCE2,RHEA:10164
Q0RCG8,RHEA:10164
Q0S4I1,RHEA:10164
Q0SNH5,RHEA:10164
Q0T1P7,RHEA:10164
Q0TQZ2,RHEA:10164
Q0VQD6,RHEA:10164
Q0W8C9,RHEA:10164
Q110V4,RHEA:10164
Q11HU8,RHEA:10164
Q11QE1,RHEA:10164
Q12560,RHEA:10164
Q128E4,RHEA:10164
Q12PZ4,RHEA:10164
Q12VE5,RHEA:10164
Q136E5,RHEA:10164
Q13X07,RHEA:10164
Q15QR6,RHEA:10164
Q164E3,RHEA:10164
Q17YV0,RHEA:10164
Q181T5,RHEA:10164
Q18G62,RHEA:10164
Q1AXJ9,RHEA:10164
Q1B439,RHEA:10164
Q1BHS0,RHEA:10164
Q1CV03,RHEA:10164
Q1D401,RHEA:10164
Q1G9S9,RHEA:10164
Q1GI52,RHEA:10164
Q1GVS8,RHEA:10164
Q1H011,RHEA:10164
Q1I646,RHEA:10164
Q1ISS7,RHEA:10164
Q1J2H6,RHEA:10164
Q1JML5,RHEA:10164
Q1KYT0,RHEA:10164
Q1LP64,RHEA:10164
Q1LPI5,RHEA:10164
Q1LTN8,RHEA:10164
Q1MH36,RHEA:10164
Q1MS78,RHEA:10164
Q1Q9K6,RHEA:10164
Q1QMI9,RHEA:10164
Q1QZX7,RHEA:10164
Q1WSY0,RHEA:10164
Q215A2,RHEA:10164
Q21LC2,RHEA:10164
Q21V37,RHEA:10164
Q24MW5,RHEA:10164
Q24YW4,RHEA:10164
Q256G5,RHEA:10164
Q27527,RHEA:10164
Q27727,RHEA:10164
Q27877,RHEA:10164
Q28RE8,RHEA:10164
Q2A278,RHEA:10164
Q2FLB5,RHEA:10164
Q2FQL9,RHEA:10164
Q2FTN3,RHEA:10164
Q2G662,RHEA:10164
Q2GD37,RHEA:10164
Q2GGS6,RHEA:10164
Q2GK24,RHEA:10164
Q2IID9,RHEA:10164
Q2IWD0,RHEA:10164
Q2J619,RHEA:10164
Q2JIT3,RHEA:10164
Q2JRS2,RHEA:10164
Q2K8W9,RHEA:10164
Q2L088,RHEA:10164
Q2LR33,RHEA:10164
Q2NAQ1,RHEA:10164
Q2NG02,RHEA:10164
Q2NJ39,RHEA:10164
Q2NVN7,RHEA:10164
Q2P1K8,RHEA:10164
Q2RLT8,RHEA:10164
Q2RT60,RHEA:10164
Q2S4F8,RHEA:10164
Q2SKX0,RHEA:10164
Q2SSR3,RHEA:10164
Q2SXC5,RHEA:10164
Q2W698,RHEA:10164
Q2Y9P0,RHEA:10164
Q30P06,RHEA:10164
Q316Q0,RHEA:10164
Q31CX3,RHEA:10164
Q31G68,RHEA:10164
Q38Y18,RHEA:10164
Q39EV9,RHEA:10164
Q39T27,RHEA:10164
Q3A578,RHEA:10164
Q3AFC8,RHEA:10164
Q3AGS4,RHEA:10164
Q3ATQ5,RHEA:10164
Q3AVW5,RHEA:10164
Q3B1G7,RHEA:10164
Q3BUT0,RHEA:10164
Q3IDM2,RHEA:10164
Q3IQT0,RHEA:10164
Q3J3H9,RHEA:10164
Q3JCT1,RHEA:10164
Q3K2B2,RHEA:10164
Q3KH92,RHEA:10164
Q3KLB0,RHEA:10164
Q3M7B2,RHEA:10164
Q3SL43,RHEA:10164
Q3SRK4,RHEA:10164
Q3YRX9,RHEA:10164
Q3YY77,RHEA:10164
Q3Z8W4,RHEA:10164
Q3ZC09,RHEA:10164
Q3ZX11,RHEA:10164
Q42971,RHEA:10164
Q43130,RHEA:10164
Q43321,RHEA:10164
Q468E2,RHEA:10164
Q46HG5,RHEA:10164
Q473G4,RHEA:10164
Q47DI1,RHEA:10164
Q47SV1,RHEA:10164
Q47WR1,RHEA:10164
Q48F79,RHEA:10164
Q48UF7,RHEA:10164
Q493N5,RHEA:10164
Q49W03,RHEA:10164
Q4A740,RHEA:10164
Q4A8B5,RHEA:10164
Q4AA88,RHEA:10164
Q4FM37,RHEA:10164
Q4FR74,RHEA:10164
Q4J920,RHEA:10164
Q4JU51,RHEA:10164
Q4KHF6,RHEA:10164
Q4L4K7,RHEA:10164
Q4QLX6,RHEA:10164
Q4R5L2,RHEA:10164
Q4ZWE0,RHEA:10164
Q4ZWQ8,RHEA:10164
Q54RK5,RHEA:10164
Q55F83,RHEA:10164
Q5B135,RHEA:10164
Q5E326,RHEA:10164
Q5F8Z2,RHEA:10164
Q5FH95,RHEA:10164
Q5FKM6,RHEA:10164
Q5FNN5,RHEA:10164
Q5GTG4,RHEA:10164
Q5HB46,RHEA:10164
Q5HSC1,RHEA:10164
Q5JEV6,RHEA:10164
Q5KVE7,RHEA:10164
Q5L4S5,RHEA:10164
Q5LQL4,RHEA:10164
Q5M561,RHEA:10164
Q5N3P4,RHEA:10164
Q5NGW8,RHEA:10164
Q5NZ69,RHEA:10164
Q5PAS6,RHEA:10164
Q5R143,RHEA:10164
Q5R6Y1,RHEA:10164
Q5WDK9,RHEA:10164
Q5WV02,RHEA:10164
Q5X3L4,RHEA:10164
Q5XD01,RHEA:10164
Q5YQ30,RHEA:10164
Q5ZTX1,RHEA:10164
Q60173,RHEA:10164
Q601S2,RHEA:10164
Q604M4,RHEA:10164
Q606T2,RHEA:10164
Q631M2,RHEA:10164
Q63SQ0,RHEA:10164
Q65EN2,RHEA:10164
Q65VZ7,RHEA:10164
Q661T0,RHEA:10164
Q67SV9,RHEA:10164
Q6AAB8,RHEA:10164
Q6ADR6,RHEA:10164
Q6AM97,RHEA:10164
Q6BI20,RHEA:10164
Q6BTB1,RHEA:10164
Q6C1F3,RHEA:10164
Q6D182,RHEA:10164
Q6F0Z7,RHEA:10164
Q6FAT9,RHEA:10164
Q6FQY4,RHEA:10164
Q6FTW6,RHEA:10164
Q6G173,RHEA:10164
Q6GIL4,RHEA:10164
Q6KIB0,RHEA:10164
Q6KZN3,RHEA:10164
Q6LMT1,RHEA:10164
Q6M075,RHEA:10164
Q6MEY2,RHEA:10164
Q6MPQ2,RHEA:10164
Q6MTZ2,RHEA:10164
Q6N5U6,RHEA:10164
Q6NI61,RHEA:10164
Q6RG04,RHEA:10164
Q6W3C0,RHEA:10164
Q6YQT9,RHEA:10164
Q70CP7,RHEA:10164
Q71WX1,RHEA:10164
Q72F92,RHEA:10164
Q72H85,RHEA:10164
Q72XY5,RHEA:10164
Q73HQ2,RHEA:10164
Q73P50,RHEA:10164
Q741U7,RHEA:10164
Q74AR6,RHEA:10164
Q74IV0,RHEA:10164
Q74J64,RHEA:10164
Q74K78,RHEA:10164
Q756H2,RHEA:10164
Q76KF9,RHEA:10164
Q7M0V7,RHEA:10164
Q7M8Q0,RHEA:10164
Q7MHQ1,RHEA:10164
Q7MTV8,RHEA:10164
Q7N835,RHEA:10164
Q7NAY0,RHEA:10164
Q7NIR1,RHEA:10164
Q7RA60,RHEA:10164
Q7RV85,RHEA:10164
Q7U0U6,RHEA:10164
Q7U3T1,RHEA:10164
Q7UIR2,RHEA:10164
Q7V377,RHEA:10164
Q7V483,RHEA:10164
Q7VDY0,RHEA:10164
Q7VIH4,RHEA:10164
Q7VNM6,RHEA:10164
Q7VQH3,RHEA:10164
Q7WD75,RHEA:10164
Q815K8,RHEA:10164
Q81X78,RHEA:10164
Q821H7,RHEA:10164
Q82HH5,RHEA:10164
Q83B44,RHEA:10164
Q83H73,RHEA:10164
