partition,direction,objective,query_id,cycle_gate,cycle_weight,effective_cycle_weight,query_applicability_score,baseline_best_positive_rank,reranked_best_positive_rank,baseline_reciprocal_rank,reranked_reciprocal_rank,baseline_hit_at_3,baseline_hit_at_10,baseline_hit_at_20,reranked_hit_at_3,reranked_hit_at_10,reranked_hit_at_20
confirmation,enzyme_to_reaction,top10,Q6IWA3,all,0.15,0.15,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,all,0.2,0.2,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.60,0.0,0.0,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.60,0.05,0.05,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.60,0.1,0.1,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.60,0.15,0.15,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.60,0.2,0.2,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.80,0.0,0.0,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.80,0.05,0.05,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.80,0.1,0.1,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.80,0.15,0.15,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,applicability_ge_0.80,0.2,0.2,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,all,0.0,0.0,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,all,0.05,0.05,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,all,0.1,0.1,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,all,0.15,0.15,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,all,0.2,0.2,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.60,0.0,0.0,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.60,0.05,0.05,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.60,0.1,0.1,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.60,0.15,0.15,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.60,0.2,0.2,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.80,0.0,0.0,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.80,0.05,0.05,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.80,0.1,0.1,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.80,0.15,0.15,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q941S0,applicability_ge_0.80,0.2,0.2,0.8128042659134254,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,all,0.0,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,all,0.05,0.05,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,all,0.1,0.1,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,all,0.15,0.15,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,all,0.2,0.2,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.60,0.0,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.60,0.05,0.05,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.60,0.1,0.1,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.60,0.15,0.15,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.60,0.2,0.2,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.80,0.0,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.80,0.05,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.80,0.1,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.80,0.15,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,B1PLH3,applicability_ge_0.80,0.2,0.0,0.7139278494179216,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,all,0.0,0.0,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,all,0.05,0.05,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,all,0.1,0.1,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,all,0.15,0.15,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,all,0.2,0.2,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.60,0.0,0.0,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.60,0.05,0.05,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.60,0.1,0.1,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.60,0.15,0.15,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.60,0.2,0.2,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.80,0.0,0.0,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.80,0.05,0.05,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.80,0.1,0.1,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.80,0.15,0.15,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q6IWA3,applicability_ge_0.80,0.2,0.2,0.8534231673497886,5,5,0.2,0.2,0,1,1,0,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,all,0.0,0.0,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,all,0.05,0.05,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,all,0.1,0.1,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,all,0.15,0.15,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,all,0.2,0.2,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.60,0.0,0.0,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.60,0.05,0.05,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.60,0.1,0.1,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.60,0.15,0.15,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.60,0.2,0.2,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.80,0.0,0.0,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.80,0.05,0.05,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.80,0.1,0.1,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.80,0.15,0.15,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top20,Q941S0,applicability_ge_0.80,0.2,0.2,0.8908800406489319,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,all,0.0,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,all,0.05,0.05,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,all,0.1,0.1,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,all,0.15,0.15,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,all,0.2,0.2,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.60,0.0,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.60,0.05,0.05,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.60,0.1,0.1,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.60,0.15,0.15,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.60,0.2,0.2,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.80,0.0,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.80,0.05,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.80,0.1,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.80,0.15,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,B1PLH3,applicability_ge_0.80,0.2,0.0,0.7319976686429653,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,all,0.0,0.0,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,all,0.05,0.05,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,all,0.1,0.1,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,all,0.15,0.15,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,all,0.2,0.2,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.60,0.0,0.0,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.60,0.05,0.05,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.60,0.1,0.1,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.60,0.15,0.15,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.60,0.2,0.2,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.80,0.0,0.0,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.80,0.05,0.05,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.80,0.1,0.1,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.80,0.15,0.15,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q6IWA3,applicability_ge_0.80,0.2,0.2,0.839346650200586,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,all,0.0,0.0,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,all,0.05,0.05,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,all,0.1,0.1,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,all,0.15,0.15,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,all,0.2,0.2,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.60,0.0,0.0,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.60,0.05,0.05,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.60,0.1,0.1,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.60,0.15,0.15,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.60,0.2,0.2,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.80,0.0,0.0,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.80,0.05,0.05,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.80,0.1,0.1,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.80,0.15,0.15,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top3,Q941S0,applicability_ge_0.80,0.2,0.2,0.8535273952634587,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,all,0.0,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,all,0.05,0.05,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,all,0.1,0.1,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,all,0.15,0.15,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,all,0.2,0.2,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.60,0.0,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.60,0.05,0.05,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.60,0.1,0.1,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.60,0.15,0.15,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.60,0.2,0.2,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.80,0.0,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.80,0.05,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.80,0.1,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.80,0.15,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_90bccccecf9c,applicability_ge_0.80,0.2,0.0,0.7095299361182574,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,all,0.0,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,all,0.05,0.05,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,all,0.1,0.1,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,all,0.15,0.15,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,all,0.2,0.2,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.60,0.0,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.60,0.05,0.05,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.60,0.1,0.1,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.60,0.15,0.15,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.60,0.2,0.2,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.80,0.0,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.80,0.05,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.80,0.1,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.80,0.15,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_b1f6de0feffa,applicability_ge_0.80,0.2,0.0,0.6394823974280215,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,all,0.0,0.0,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,all,0.05,0.05,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,all,0.1,0.1,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,all,0.15,0.15,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,all,0.2,0.2,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,applicability_ge_0.60,0.0,0.0,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,applicability_ge_0.60,0.05,0.05,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,applicability_ge_0.60,0.1,0.1,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,reaction_to_enzyme,top10,MARTS_EXT_RXN_de164cb3f0e1,applicability_ge_0.60,0.15,0.15,0.6249540359798982,1,1,1.0,1.0,1,1,1,1,1,1
