row,protein_id,cif,norm
35,A0A059SVB0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A059SVB0-F1-model_v6.cif,1.0
36,A0A060KY90,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060KY90-F1-model_v6.cif,1.0
37,A0A060LSW5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060LSW5-F1-model_v6.cif,1.0
38,A0A060M366,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060M366-F1-model_v6.cif,1.0
39,A0A060S3F9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060S3F9-F1-model_v6.cif,0.99999994
40,A0A060S8P1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060S8P1-F1-model_v6.cif,0.99999994
41,A0A060SCC7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060SCC7-F1-model_v6.cif,1.0
42,A0A060SL93,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060SL93-F1-model_v6.cif,0.99999994
43,A0A060ZQJ1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060ZQJ1-F1-model_v6.cif,0.99999994
44,A0A060ZZR1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A060ZZR1-F1-model_v6.cif,0.99999994
45,A0A061A3Z6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061A3Z6-F1-model_v6.cif,1.0
46,A0A061A895,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061A895-F1-model_v6.cif,0.99999994
47,A0A061A8C8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061A8C8-F1-model_v6.cif,1.0
48,A0A061F6U5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061F6U5-F1-model_v6.cif,0.99999994
49,A0A061F8M6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061F8M6-F1-model_v6.cif,1.0
50,A0A061F9A8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061F9A8-F1-model_v6.cif,1.0
51,A0A061F9B8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061F9B8-F1-model_v6.cif,0.99999994
52,A0A061F9D1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061F9D1-F1-model_v6.cif,0.99999994
53,A0A061FA71,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FA71-F1-model_v6.cif,1.0
54,A0A061FBH4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FBH4-F1-model_v6.cif,1.0
55,A0A061FHJ1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FHJ1-F1-model_v6.cif,1.0
56,A0A061FHK4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FHK4-F1-model_v6.cif,0.99999994
57,A0A061FIX4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FIX4-F1-model_v6.cif,1.0
58,A0A061FVV6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061FVV6-F1-model_v6.cif,1.0
59,A0A061GG35,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061GG35-F1-model_v6.cif,1.0
60,A0A061GN29,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A061GN29-F1-model_v6.cif,0.99999994
61,A0A066U7L8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066U7L8-F1-model_v6.cif,1.0
62,A0A066Y238,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066Y238-F1-model_v6.cif,1.0
63,A0A066YKZ3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066YKZ3-F1-model_v6.cif,0.99999994
64,A0A066YL45,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066YL45-F1-model_v6.cif,0.99999994
65,A0A066YQY7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066YQY7-F1-model_v6.cif,0.99999994
66,A0A066YW49,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A066YW49-F1-model_v6.cif,1.0
67,A0A067BIM0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067BIM0-F1-model_v6.cif,1.0
68,A0A067D647,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067D647-F1-model_v6.cif,1.0
69,A0A067D6X8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067D6X8-F1-model_v6.cif,1.0
70,A0A067DPZ4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067DPZ4-F1-model_v6.cif,0.99999994
71,A0A067DX28,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067DX28-F1-model_v6.cif,1.0
72,A0A067E4Y3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067E4Y3-F1-model_v6.cif,1.0
73,A0A067GB33,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067GB33-F1-model_v6.cif,1.0
74,A0A067JLF4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JLF4-F1-model_v6.cif,1.0
75,A0A067JPJ7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JPJ7-F1-model_v6.cif,0.99999994
76,A0A067JQ70,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JQ70-F1-model_v6.cif,1.0
77,A0A067JRK6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JRK6-F1-model_v6.cif,1.0
78,A0A067JSJ6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JSJ6-F1-model_v6.cif,1.0
79,A0A067JT18,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JT18-F1-model_v6.cif,1.0
80,A0A067JTU9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JTU9-F1-model_v6.cif,1.0
81,A0A067JUF2,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JUF2-F1-model_v6.cif,1.0
82,A0A067JXK2,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067JXK2-F1-model_v6.cif,1.0
83,A0A067K2C7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067K2C7-F1-model_v6.cif,0.99999994
84,A0A067K667,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067K667-F1-model_v6.cif,0.99999994
85,A0A067K963,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067K963-F1-model_v6.cif,1.0
86,A0A067KB09,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KB09-F1-model_v6.cif,1.0
87,A0A067KGI0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KGI0-F1-model_v6.cif,0.99999994
88,A0A067KGU0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KGU0-F1-model_v6.cif,0.99999994
89,A0A067KI99,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KI99-F1-model_v6.cif,1.0
90,A0A067KII1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KII1-F1-model_v6.cif,0.99999994
91,A0A067KIY7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KIY7-F1-model_v6.cif,0.99999994
92,A0A067KLI9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KLI9-F1-model_v6.cif,1.0
93,A0A067KPQ3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KPQ3-F1-model_v6.cif,1.0
94,A0A067KSS4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KSS4-F1-model_v6.cif,0.9999999
95,A0A067KST6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KST6-F1-model_v6.cif,1.0
96,A0A067KVJ6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KVJ6-F1-model_v6.cif,1.0
97,A0A067KXK6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067KXK6-F1-model_v6.cif,1.0
98,A0A067L1K5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067L1K5-F1-model_v6.cif,0.99999994
99,A0A067L1Q1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067L1Q1-F1-model_v6.cif,0.99999994
100,A0A067LA82,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067LA82-F1-model_v6.cif,0.99999994
101,A0A067M834,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067M834-F1-model_v6.cif,0.99999994
102,A0A067M8B0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067M8B0-F1-model_v6.cif,0.99999994
103,A0A067N7X3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067N7X3-F1-model_v6.cif,1.0
104,A0A067NBB1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067NBB1-F1-model_v6.cif,1.0
105,A0A067NCK3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067NCK3-F1-model_v6.cif,1.0
106,A0A067NY86,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067NY86-F1-model_v6.cif,1.0
107,A0A067PFE6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067PFE6-F1-model_v6.cif,1.0
108,A0A067PM63,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067PM63-F1-model_v6.cif,1.0
109,A0A067PWC7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067PWC7-F1-model_v6.cif,1.0
110,A0A067PY27,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067PY27-F1-model_v6.cif,1.0
111,A0A067Q5C0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067Q5C0-F1-model_v6.cif,1.0
112,A0A067SC48,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067SC48-F1-model_v6.cif,0.99999994
113,A0A067SL26,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067SL26-F1-model_v6.cif,1.0
114,A0A067SNI8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067SNI8-F1-model_v6.cif,1.0
115,A0A067SS78,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067SS78-F1-model_v6.cif,1.0
116,A0A067SWF3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067SWF3-F1-model_v6.cif,1.0
117,A0A067T4E1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067T4E1-F1-model_v6.cif,1.0
118,A0A067T571,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067T571-F1-model_v6.cif,0.99999994
119,A0A067T6V4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067T6V4-F1-model_v6.cif,1.0
120,A0A067TG08,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067TG08-F1-model_v6.cif,1.0
121,A0A067TQJ1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A067TQJ1-F1-model_v6.cif,0.99999994
122,A0A068CNX1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068CNX1-F1-model_v6.cif,1.0
123,A0A068EUF6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068EUF6-F1-model_v6.cif,0.99999994
124,A0A068U845,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068U845-F1-model_v6.cif,1.0
125,A0A068UGZ4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UGZ4-F1-model_v6.cif,0.9999999
126,A0A068UH51,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UH51-F1-model_v6.cif,1.0
127,A0A068UI35,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UI35-F1-model_v6.cif,1.0
128,A0A068UTH0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UTH0-F1-model_v6.cif,1.0
129,A0A068UTT8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UTT8-F1-model_v6.cif,1.0
130,A0A068UTU6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068UTU6-F1-model_v6.cif,0.99999994
131,A0A068VE70,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068VE70-F1-model_v6.cif,1.0
132,A0A068VI46,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068VI46-F1-model_v6.cif,1.0
133,A0A068VMM7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A068VMM7-F1-model_v6.cif,0.99999994
134,A0A072PDC8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A072PDC8-F1-model_v6.cif,0.99999994
135,A0A072V868,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A072V868-F1-model_v6.cif,1.0
136,A0A073JWZ7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A073JWZ7-F1-model_v6.cif,1.0
137,A0A074L5D1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A074L5D1-F1-model_v6.cif,0.99999994
138,A0A074LLW2,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A074LLW2-F1-model_v6.cif,1.0
139,A0A074RGB6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A074RGB6-F1-model_v6.cif,0.99999994
140,A0A074RJZ6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A074RJZ6-F1-model_v6.cif,1.0
141,A0A074W595,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A074W595-F1-model_v6.cif,1.0
142,A0A075D5I4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A075D5I4-F1-model_v6.cif,1.0
143,A0A075D657,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A075D657-F1-model_v6.cif,1.0
144,A0A075K2F2,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A075K2F2-F1-model_v6.cif,1.0
145,A0A075W2D6,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A075W2D6-F1-model_v6.cif,0.99999994
146,A0A076GAR5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076GAR5-F1-model_v6.cif,1.0
147,A0A076GBU1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076GBU1-F1-model_v6.cif,0.99999994
148,A0A076GH20,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076GH20-F1-model_v6.cif,1.0000001
149,A0A076KZS5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076KZS5-F1-model_v6.cif,1.0
150,A0A076L4M0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076L4M0-F1-model_v6.cif,1.0
151,A0A076L503,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076L503-F1-model_v6.cif,1.0
152,A0A076L784,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076L784-F1-model_v6.cif,1.0
153,A0A076MP76,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076MP76-F1-model_v6.cif,1.0
154,A0A076MPZ4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076MPZ4-F1-model_v6.cif,1.0
155,A0A076U5E5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076U5E5-F1-model_v6.cif,0.99999994
156,A0A076V5R4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A076V5R4-F1-model_v6.cif,1.0
157,A0A077HAK5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A077HAK5-F1-model_v6.cif,1.0
158,A0A078F494,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078F494-F1-model_v6.cif,1.0
159,A0A078F8G1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078F8G1-F1-model_v6.cif,0.99999994
160,A0A078FBN1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078FBN1-F1-model_v6.cif,0.99999994
161,A0A078FIU3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078FIU3-F1-model_v6.cif,1.0
162,A0A078FKM3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078FKM3-F1-model_v6.cif,1.0
163,A0A078FPH4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078FPH4-F1-model_v6.cif,1.0
164,A0A078FRJ3,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078FRJ3-F1-model_v6.cif,1.0
165,A0A078G632,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078G632-F1-model_v6.cif,1.0
166,A0A078GCM0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078GCM0-F1-model_v6.cif,1.0
167,A0A078GST7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078GST7-F1-model_v6.cif,1.0
168,A0A078GZ41,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078GZ41-F1-model_v6.cif,0.99999994
169,A0A078H7B5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078H7B5-F1-model_v6.cif,0.99999994
170,A0A078HCH8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078HCH8-F1-model_v6.cif,1.0000001
171,A0A078HV52,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078HV52-F1-model_v6.cif,0.99999994
172,A0A078IUM4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078IUM4-F1-model_v6.cif,1.0
173,A0A078IZS4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078IZS4-F1-model_v6.cif,1.0
174,A0A078J3D0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078J3D0-F1-model_v6.cif,1.0
175,A0A078JCE1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078JCE1-F1-model_v6.cif,0.99999994
176,A0A078JCX8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078JCX8-F1-model_v6.cif,0.99999994
177,A0A078JSR5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A078JSR5-F1-model_v6.cif,0.99999994
178,A0A081LDY7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A081LDY7-F1-model_v6.cif,0.99999994
179,A0A081XM02,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A081XM02-F1-model_v6.cif,1.0
180,A0A081XQ53,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A081XQ53-F1-model_v6.cif,1.0
181,A0A084B4T1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A084B4T1-F1-model_v6.cif,1.0
182,A0A084FVS4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A084FVS4-F1-model_v6.cif,1.0
183,A0A084G0C4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A084G0C4-F1-model_v6.cif,1.0
184,A0A084QPD1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A084QPD1-F1-model_v6.cif,1.0
