reaction_id,legacy_exact_fold
RHEA:60680,3
RHEA:60684,3
RHEA:60688,1
RHEA:60692,0
RHEA:60696,1
RHEA:60744,1
RHEA:60748,4
RHEA:60752,4
RHEA:60756,2
RHEA:60760,2
RHEA:60764,2
RHEA:61096,1
RHEA:61112,2
RHEA:61124,4
RHEA:62180,2
RHEA:62184,3
RHEA:62188,4
RHEA:62592,0
RHEA:62596,1
RHEA:62972,4
RHEA:63012,3
RHEA:63068,2
RHEA:63080,2
RHEA:63084,1
RHEA:63092,2
RHEA:63096,0
RHEA:63100,2
RHEA:63104,4
RHEA:63108,1
RHEA:63112,4
RHEA:64332,1
RHEA:64336,2
RHEA:64340,3
RHEA:64344,3
RHEA:64348,2
RHEA:64572,1
RHEA:64580,0
RHEA:64856,3
RHEA:65072,2
RHEA:65112,2
RHEA:65116,3
RHEA:65132,4
RHEA:65140,2
RHEA:65144,1
RHEA:65156,1
RHEA:65168,2
RHEA:65176,3
RHEA:65180,4
RHEA:65184,3
RHEA:65188,3
RHEA:65192,4
RHEA:65248,4
RHEA:65252,1
RHEA:65256,0
RHEA:65260,3
RHEA:65264,1
RHEA:65268,1
RHEA:65272,0
RHEA:65300,1
RHEA:65304,2
RHEA:65316,3
RHEA:65320,2
RHEA:65324,2
RHEA:65328,2
RHEA:65332,1
RHEA:65336,4
RHEA:65828,2
RHEA:66636,4
RHEA:66640,1
RHEA:66644,3
RHEA:66648,2
RHEA:66652,2
RHEA:66712,0
RHEA:66832,3
RHEA:66836,2
RHEA:66840,3
RHEA:66844,0
RHEA:66860,1
RHEA:66864,4
RHEA:66868,3
RHEA:66896,4
RHEA:67036,1
RHEA:67040,0
RHEA:67044,0
RHEA:67048,0
RHEA:67052,0
RHEA:67056,1
RHEA:67060,1
RHEA:67064,1
RHEA:67068,0
RHEA:67096,3
RHEA:67100,3
RHEA:67104,4
RHEA:67400,4
RHEA:67404,4
RHEA:67408,0
RHEA:67412,2
RHEA:67416,0
RHEA:67476,1
RHEA:68156,4
RHEA:68160,3
RHEA:68164,4
RHEA:68168,1
RHEA:68400,4
RHEA:68468,0
RHEA:68472,0
RHEA:68504,0
RHEA:68508,3
RHEA:68512,2
RHEA:68516,4
RHEA:68520,0
RHEA:68524,4
RHEA:68528,2
RHEA:68532,1
RHEA:68536,3
RHEA:68540,2
RHEA:68544,4
RHEA:68596,0
RHEA:68636,1
RHEA:68640,3
RHEA:68644,4
RHEA:68708,2
RHEA:68712,2
RHEA:68716,2
RHEA:68772,2
RHEA:68776,1
RHEA:68780,2
RHEA:68784,2
RHEA:68788,2
RHEA:68824,2
RHEA:68844,4
RHEA:68852,1
RHEA:69444,4
RHEA:69448,2
RHEA:69775,3
RHEA:71979,4
RHEA:71983,0
RHEA:71987,3
RHEA:71991,2
RHEA:71995,1
RHEA:71999,3
RHEA:73951,4
RHEA:73963,1
RHEA:73979,3
RHEA:73983,3
RHEA:73987,3
RHEA:73991,3
RHEA:73995,3
RHEA:74107,0
RHEA:74543,4
RHEA:74547,4
RHEA:74587,3
RHEA:74591,2
RHEA:74627,2
RHEA:74635,4
RHEA:74707,4
RHEA:74711,0
RHEA:74727,3
RHEA:74751,0
RHEA:77007,4
RHEA:77071,3
RHEA:77079,1
RHEA:77963,4
RHEA:77967,1
RHEA:77971,0
RHEA:77975,4
RHEA:77979,0
RHEA:78275,3
RHEA:78287,3
RHEA:78291,3
RHEA:78399,0
RHEA:78403,0
RHEA:78407,1
RHEA:78655,4
RHEA:78979,1
RHEA:78983,2
RHEA:78987,2
RHEA:79011,0
RHEA:79687,2
RHEA:79691,4
RHEA:80391,4
RHEA:80395,0
RHEA:80399,0
RHEA:80403,3
RHEA:80407,1
RHEA:80863,2
RHEA:80867,4
RHEA:80871,3
RHEA:80875,1
RHEA:80879,3
RHEA:80883,4
RHEA:81103,1
RHEA:81219,3
RHEA:81223,0
RHEA:81231,4
RHEA:81463,3
RHEA:81851,4
RHEA:83287,0
RHEA:83523,1
RHEA:83527,0
RHEA:83903,2
RHEA:83907,0
RHEA:85535,1
RHEA:85615,2
RHEA:85619,2
RHEA:85623,4
RHEA:85767,3
