protein_id,is_training_protein
A0A0F7TXA0,0
A0A0F7TXA1,1
A0A0F7TXA5,1
A0A0F7TXA8,1
A0A0F7TZD6,1
A0A0F7TZE0,0
A0A0F7U103,1
A0A0F7U1Z1,0
A0A0F7U1Z8,0
A0A0H5BB10,1
A0A0H5BB17,1
A0A0H5BN57,1
A0A0H5BN61,1
A0A0M3Q1Q3,1
A0A0M4KRN2,0
A0A0M4M0T9,1
A0A0M5L832,1
A0A0M8MV11,0
A0A0M8MW83,0
A0A0M8MZA1,0
A0A0M9VUG7,0
A0A0M9VUP1,0
A0A0N0DCA4,0
A0A0N0RTK4,0
A0A0P0ZD79,1
A0A0P0ZEA9,1
A0A0P0ZEM1,1
A0A0S2IHL6,1
A0A0U2D9C5,1
A0A0U2U4F3,1
A0A0U3LQ20,1
A0A0U4CDK4,1
A0A0U4ZPJ7,0
A0A0U4ZPL6,1
A0A0U4ZX08,0
A0A0U5CJM3,0
A0A0U5CJT8,0
A0A0U5CJU2,0
A0A0U5CJU6,0
A0A0U5CJV1,1
A0A0U5CNN8,0
A0A0U5CNP2,0
A0A0U5G0B1,1
A0A0U5GFQ6,0
A0A0U5GFR4,0
A0A0U5GFS8,1
A0A0U5GGX2,0
A0A0U5GHC1,0
A0A0U5GHD4,0
A0A0U5GHG9,1
A0A0U5GHH9,0
A0A0U5GHU6,0
A0A0U5GIM7,0
A0A0U5GIU9,0
A0A0U5GJ41,0
A0A0U5GJY1,0
A0A0U5GK88,0
A0A0U5GMR5,0
A0A0U5GNT1,1
A0A0U5GQ05,0
A0A0U5GRB4,0
A0A0U5HAP0,0
A0A0U5HAQ4,1
A0A125SXN1,1
A0A125SXN2,1
A0A125SXN3,1
A0A140JWS2,1
A0A140JWS4,0
A0A140JWS5,0
A0A140JWS6,0
A0A140JWS7,0
A0A140JWS8,0
A0A140JWS9,0
A0A140JWT0,0
A0A140JWT1,0
A0A140JWT2,0
A0A140JWT3,0
A0A140JWT4,0
A0A140JWT5,0
A0A140JWT6,0
A0A140JWT7,0
A0A140JWT8,0
A0A140JWT9,0
A0A140JWU0,0
A0A140JWU1,0
A0A140KFG9,1
A0A142BX70,1
A0A142BX74,1
A0A151ZEA6,1
A0A159AKG3,0
A0A167V661,1
A0A169T193,1
A0A178U9Y5,1
A0A1B4XBG5,1
A0A1B7YCC9,0
A0A1B7YCK2,0
A0A1B7YCL6,0
A0A1B7YCX1,0
A0A1C7AAN2,1
A0A1C9J6A7,1
A0A1D6EFT8,1
A0A1D6F9Y9,1
A0A1D6GQ67,1
A0A1D6HSP4,1
A0A1D6K6U5,1
A0A1D6KUI6,1
A0A1D6LTV0,1
A0A1D8PI71,1
A0A1E1FFL0,1
A0A1E1FFL1,0
A0A1E1FFL4,0
A0A1E1FFL6,0
A0A1E1FFM3,0
A0A1E1FFM8,1
A0A1E1FFM9,0
A0A1E1FFN3,0
A0A1E1FFN4,1
A0A1E1FFN5,0
A0A1E1FFN7,1
A0A1E1FFN8,1
A0A1E1FFP5,1
A0A1G9UQQ0,1
A0A1G9VRW7,1
A0A1L2D3T3,1
A0A1L5YKS7,1
A0A1L6Z3A0,1
A0A1L6Z3A5,1
A0A1L7U8F2,1
A0A1L7VFX3,1
A0A1L7VI12,0
A0A1L7VZE7,1
A0A1L9UKS1,1
A0A1L9WQI2,1
A0A1L9WQK2,1
A0A1L9WUI2,1
A0A1L9WUM2,0
A0A1L9WUW3,1
A0A1L9WUX8,1
A0A1P7Y0A2,1
A0A1P7Y0A8,1
A0A1P7Y0C9,1
A0A1P7Y0D0,1
A0A1P7Y0D4,1
A0A1S5RW73,1
A0A1U8QGE6,0
A0A1U8QHE3,1
A0A1U8QLK0,0
A0A1V0E492,1
A0A1V0E4A6,1
A0A1V0QSF3,1
A0A1V0QSF4,1
A0A1V0QSF6,1
A0A1V0QSF8,1
A0A1V0QSF9,1
A0A1V0QSG0,1
A0A1V0QSG1,1
A0A1V0QSG6,1
A0A1V0QSG9,0
A0A1V0QSH1,1
A0A1V0QSH2,1
A0A1V0QSH7,1
A0A1V1FNM9,1
A0A1V1FNZ5,0
A0A1V1FVQ6,1
A0A1W6GW06,1
A0A1W6GW18,1
A0A1W6GW32,1
A0A1W6QDI6,0
A0A1W6QDI7,1
A0A1W6QDJ1,1
A0A1X9IRP7,1
A0A1X9IRQ7,1
A0A1X9IRT6,0
A0A1X9ISH5,1
A0A1X9ISN9,1
A0A1X9ISP7,1
A0A1Y0BRF1,1
A0A1Y0BRF2,0
A0A1Y0BRF3,0
A0A1Y0BRF4,0
A0A1Y0BRF5,0
A0A1Y0BRF7,1
A0A1Y0BRF8,0
A0A1Y0BRF9,0
A0A1Y0BRG0,0
A0A1Y1C7Q5,1
A0A1Y1C7S2,1
A0A1Z3GBK8,1
A0A1Z3GC64,1
A0A1Z3GCD1,1
A0A284RNH4,1
A0A291LSD6,1
A0A291SJC7,1
A0A2I1BSU0,1
A0A2I1BSV1,1
A0A2I1BSV7,1
A0A2I1BSV9,1
A0A2I1BSW0,1
A0A2I1BSW6,1
A0A2I1BSW8,1
A0A2I1BSX0,1
A0A2I1BSZ6,1
A0A2I1BT01,1
A0A2I1BT09,1
A0A2I1BT15,0
A0A2I1BT56,0
A0A2I6PIZ1,0
A0A2I6PIZ2,0
A0A2I6PIZ6,0
A0A2I6PIZ7,0
A0A2I6PIZ8,0
A0A2I6PIZ9,0
A0A2I6PJ00,0
A0A2I6PJ01,0
A0A2I6PJ02,0
A0A2I6PJ07,0
A0A2I6PJ08,0
A0A2I6PJ12,0
A0A2I6PJ13,0
A0A2K9RFY0,1
A0A2K9RFZ2,1
A0A2K9RFZ7,1
A0A2K9RFZ8,1
A0A2K9RFZ9,1
A0A2K9RG07,1
A0A2L0VXR0,1
A0A2P1DP74,0
A0A2P1DP75,0
A0A2P1DP77,0
A0A2P1DP82,0
A0A2P1DP87,0
A0A2P1DP90,1
A0A2P1DP91,1
A0A2P1DP94,0
A0A2P1DP98,0
A0A2P1DPA5,0
A0A2P2GK84,1
A0A2R4QKX7,1
A0A2U8U2K8,0
A0A2U8U2L0,0
A0A2U8U2L2,0
A0A2U8U2L3,0
A0A2U8U2L4,0
A0A2U8U2L5,1
A0A2U8U2L6,0
A0A2U8U2M1,0
A0A2U8U2M8,0
A0A2Z4HPY0,0
A0A2Z4HPY4,0
A0A2Z4HPY5,0
A0A2Z4HPZ0,0
A0A2Z4HPZ5,0
A0A2Z4HPZ6,0
A0A2Z4HPZ7,0
A0A2Z4HPZ8,0
A0A2Z6AQX6,1
A0A2Z6AQX7,1
A0A2Z6E9B9,0
A0A2Z6FZ19,0
A0A2Z6FZ20,0
A0A2Z6FZ31,1
A0A2Z6FZX4,0
A0A343W969,1
A0A343W970,1
A0A345BJQ0,1
A0A348AUV5,1
A0A348AUV6,1
A0A348AUV7,1
A0A348AUV9,1
A0A348AUW0,1
A0A348AUW1,1
A0A348B779,1
A0A348B780,1
A0A348B781,1
A0A348B782,1
A0A348B784,1
A0A348B785,0
A0A348B788,1
A0A348B790,1
A0A348B793,1
A0A348B794,0
A0A348DU52,1
A0A348FUE1,1
A0A385AJM2,1
A0A385AJM4,1
A0A385AJM5,1
A0A385AJM6,1
A0A385AJN0,1
A0A386JV86,1
A0A386KZ50,1
A0A386KZI3,1
A0A3G1DJL2,1
A0A3G1QTS7,1
A0A3G1QTT3,0
A0A3G1QTU5,1
A0A3G9GNJ4,1
A0A3G9GNK2,1
A0A3G9GQ29,1
A0A3G9GR23,1
A0A3G9GUR6,1
A0A3G9GX61,1
A0A3G9H185,1
A0A3G9H8P0,1
A0A3G9HAL8,1
A0A3L6G2C1,1
A0A3L6G998,1
A0A3Q7GFB5,0
A0A3Q9FEJ4,1
A0A3Q9FFM1,1
A0A3S5XFG0,1
A0A3S9NM20,1
A0A3T0ZHJ0,0
A0A3T0ZHJ5,0
A0A3T0ZHK6,0
A0A3T0ZHK9,0
A0A3T0ZHL2,0
A0A3T0ZHL4,0
A0A455LLX1,0
A0A455LM26,0
A0A455LN86,0
A0A455LRW3,0
A0A455LXK0,0
A0A455M2Y3,0
A0A455M7S4,0
A0A455R413,1
A0A455R4X0,1
A0A455R4Z0,1
A0A455R5H4,1
A0A455R5K2,1
A0A455R5P9,1
A0A455R624,1
A0A455R7E6,1
A0A455R7M0,1
A0A455RAK9,1
A0A484FVL2,0
A0A484FXR4,0
A0A4D6IA24,1
A0A4D6Q415,1
A0A4P8GEA3,0
A0A4P8GEB4,0
A0A4P8GEE8,0
A0A4P8GF19,0
A0A4P8GFV8,1
A0A4P8GG75,0
A0A4P8GHJ1,0
A0A4S8MAF3,1
A0A4V1E8I5,0
A0A4Y5L9K3,1
A0A4Y5QVX6,1
A0A4Y5QWA6,1
A0A4Y5QWK5,1
A0A4Y5QZ62,1
A0A516F405,1
A0A5B8NBE6,1
A0A5B8NBN0,1
A0A5P8DHZ6,1
A0A5P8DI06,1
A0A5P8DI07,1
A0A5P8DI15,1
A0A5Q0QMX0,1
A0A5Q0QMX1,1
A0A5Q0QMX6,0
A0A5Q0QN66,1
A0A5Q0QNH9,1
A0A5Q0QNJ2,1
A0A5Q0QP64,1
A0A5Q0QRJ3,1
A0A5Q0QRK8,0
A0A5Q0QSI8,1
A0A5Q0QU70,1
A0A5S9I252,1
A0A6P6W6H5,1
A0A6S6QR11,1
A0A7D0AGU9,1
A0A7G5KLV0,1
A0A7G5KLV1,1
A0A7G5KLV2,1
A0A7G5KLV3,1
A0A7J6EK66,1
A0A7J6FUX2,0
A0A7J6HK32,1
A0A7J6HWR9,1
A0A803PDZ0,1
A0A858E4Y6,1
A0A858E4Y8,1
A0A858E6N7,1
A0A858E7G0,1
A0A858E7J4,1
A0A858E899,1
A0A858EAD5,1
A0A8D5M3V0,0
A0A8D5M3Y5,1
A0A8D5M692,0
A0A8D5M6H6,0
A0A8D5M7T9,0
A0A8D5M7V9,0
A0A8D5M8I1,0
A0A8D5RWG4,0
A0A8D5RY40,0
A0A8D5RZ52,0
A0A8H4CUY8,1
A0A8H5Z7W4,0
A0A8H7XMX0,1
A0A8H7XP09,1
A0A8H7XQ49,1
A0A8H8CFI5,1
A0A8H8CMW1,1
A0A8K1AW51,0
A0A8K1AW54,0
A0A8K1AWG4,0
A0A8K1AY78,1
A0AAW1L0L7,1
A0SJQ5,1
A1C8C2,0
A1C8C3,1
A1C8C5,0
A1CVK0,1
A1DN29,1
A1DN30,1
A2PZA5,1
A3KI17,1
A4D9R2,0
A4D9R3,0
A4DA41,1
A4FG19,1
A4FVP2,1
A4KAG7,1
A4KAG8,1
A5A8G0,1
A5PHD6,0
A5Y5L5,1
A6XH05,1
A6XH06,1
A7IZZ1,1
A7IZZ2,1
A7NH01,1
A8C980,1
A8C981,1
A8CDT2,1
A8CDT3,1
A8NE23,1
A8NU13,1
A9AWD5,1
A9FZ87,1
A9GK58,1
A9JPE0,0
A9JPE1,0
A9JPE2,0
A9JPE3,0
A9JPE4,0
B0FGA9,1
B0Y5B4,1
B1B1U3,1
B1B1U4,1
B1W019,1
B2C4D0,1
B2DBF0,1
B2DBF1,1
B2J4A4,1
B2KSJ5,1
B2KSJ6,1
B3TPQ6,1
B3TPQ7,1
B3Y522,1
B4FVP3,1
B5A434,1
B5A435,1
B5GMG2,1
B5GRC8,1
B5GS26,1
B5GW45,1
B5H7H3,1
B5HDJ6,1
B6EXY6,1
B6H063,1
B6HFX8,1
B6HFX9,0
B6HUQ4,0
B6HUQ5,0
B6HV32,1
B6HV33,0
B6HV34,0
B6HV35,1
B6HV36,0
B6HV37,0
B6HV38,0
B6HV39,0
B6K412,1
B6SCF3,0
B6SCF4,1
B6SCF5,1
B6SCF6,1
B8NHE0,1
B8NHE1,1
B8NHE4,1
B8PD44,1
B8PQ84,1
B8XA41,1
B9RHP7,0
B9RHX7,0
B9RI00,0
B9RPM3,0
B9RXW0,1
B9RXW4,0
B9S1N2,0
B9S9Z3,1
B9SBU9,0
B9SBV6,0
B9SCB6,0
B9SIL7,1
B9SIM2,1
B9SIM3,1
B9T536,0
B9T625,1
B9T825,0
B9X0J1,1
C0KWV3,1
C0KWV4,1
C0KWV5,1
C0KWV6,1
C0KWV7,1
C0PPM5,1
C0PPR1,1
C0PT35,1
C0PTH8,1
C1K5M2,1
C1K5M3,1
C3RSF5,1
C5I9X1,1
C5YHH7,1
C5YHI2,1
C7ASI9,1
C7E5V7,1
C7E5V8,1
C7E5V9,1
C7E5W0,1
C7PLV2,1
C8VE79,1
C8VE82,0
C8VN91,0
C8VQ92,0
C8VQ93,0
C8VQ98,0
C8XPS0,1
C9E894,1
C9K1X5,1
C9K1X6,1
C9K1X7,1
C9K2Q2,0
C9K2Q3,1
D0UZK2,1
D0VMR5,0
D0VMR6,1
D0VMR7,1
D0VMR8,1
D1MX85,0
D1MX86,0
D1MX87,0
D1MX88,0
D1MX89,0
D2B747,1
D2E9W6,0
D2K762,1
D2YZP9,1
D3KYU2,1
D5KXD2,1
D5SJ87,1
D5SK09,1
D5SL78,1
D7NJ68,1
D7PHY9,0
D7PHZ0,0
D7PHZ1,0
D7PHZ2,0
D7PHZ3,0
D7PHZ4,0
D7PHZ5,1
D7PHZ6,0
D7PHZ7,0
D7PHZ8,0
D7PHZ9,0
D7UTD0,0
D7UTD1,0
D8RLD3,1
D8RNZ9,1
D8S255,0
D9XD61,1
D9XDR8,1
E0D7H5,0
E0D7H6,0
E2E2N3,1
E2E2N4,1
E2E2N5,1
E2E2N7,1
E2E2N8,1
E2E2P0,1
E2E2P1,1
E2E2P2,1
E2IHE0,1
E2IUA6,1
E2IUA7,1
E2IUA8,1
E2IUA9,1
E2IUB0,1
E3UBL5,0
E3UBL6,0
E3VWJ0,1
E3W202,1
E3W203,1
E3W204,1
E3W205,1
E3W206,1
E3W207,1
E3W208,1
E4MYY0,1
E4N7E5,1
E4V6I8,1
E7DN63,1
E7DN64,1
E8W6C7,1
E9E766,1
E9F5E7,0
E9F5E8,0
E9F5E9,1
E9F5F0,0
E9F5F1,0
E9F8R9,1
F0ZDD0,1
F0ZHE2,0
F0ZK52,1
F0ZL92,1
F0ZLU4,1
F0ZPL2,1
F1A1D4,1
F1A1D6,0
F1A3V1,0
F1CKI6,1
F1CKI8,1
F1CKI9,1
F1CKJ1,1
F1SWA0,1
F2XF92,1
F2XF93,1
F2XF94,1
F2XF95,1
F2XF96,1
F2XF97,1
F2XF98,1
F2XF99,1
F2XFA0,1
F2XFA1,1
F2XFA2,1
F2XFA4,1
F2XFA5,1
F2XFA6,1
F2XFA8,1
F2XFB2,1
F4Q7D4,1
F6M8H4,0
F6M8H5,0
F6M8H6,0
F6M8H7,0
F6M8H8,0
F6M8I0,1
F8JK18,1
F8JSS1,1
F8UL80,1
F8UL81,1
F8WQD0,1
G0Y7D1,1
G0Y7D2,1
G0Y7D3,1
G1DGI7,1
G1JUH1,1
G2P5T1,1
G3CCC0,1
G3CCC1,1
G3E4M4,1
G3E4M6,1
G5CV45,1
G5CV46,1
G5CV52,1
G5CV54,1
G8GJ94,1
G8GJ95,1
G8GJ96,1
G8H5M7,1
G8H5M8,1
G8H5M9,1
G8H5N0,1
G8H5N1,1
G8H5N2,1
G8H5N3,0
G9MAN7,1
H1VM35,0
H1VN83,0
H1VQB1,1
H1VQW0,0
H2ELN1,1
H2KWF1,1
H6U1I8,1
H6VLG5,1
H6WZF2,1
H7CE84,0
H8ZM70,1
H8ZM71,1
H8ZM73,1
H9L9E5,1
I1M2G5,1
I1RL11,0
I1RL12,0
I1RL13,0
I1RL14,1
I1RL15,0
I1RL16,0
I1RL18,0
I1RQ76,1
I1S104,1
I1ZHA5,1
I2N045,1
I6QPS5,1
I6QSN0,1
I6R4V5,1
I6RAQ6,1
I6RE61,1
I7GPX8,1
I7H727,1
J7FIJ6,0
J7FIP8,0
J7FIP9,0
J7FIX8,1
J7FJH0,0
J7FJH1,0
J7FJH2,0
J7FK08,0
J7FK10,0
J7LH11,1
J7LJN5,1
J7LMP2,1
J7LP58,1
J7LQ09,1
J9QS23,1
J9QS25,1
J9R1J8,1
J9R388,1
J9R393,0
J9R5V4,1
J9RLZ7,1
K0K750,1
K2QVI4,0
K2QVI8,0
K2RGJ8,0
K2RLM2,0
K2RLM6,0
K2RU64,0
K2RU68,0
K2SUY0,1
K4B6C9,0
K4IAL8,0
K4L9M2,1
K4LMW2,1
K7NBZ9,1
K7WDC8,0
K7WDL7,1
K7WQ45,1
K9Y645,0
K9Y6Y9,0
L0HAM7,1
L0HB77,1
L0MXJ1,0
L0MXJ3,0
L0MXX3,0
L0MYS5,0
L0MYS8,0
L0MZK0,0
L0MZK4,0
L0N063,0
L0N065,0
M1UZ07,0
M1UZ09,0
M1V8J8,0
M1V8K0,0
M1V9Q0,1
M1VDX3,1
M1VE36,0
M1VJS5,0
M1VNH2,0
M2SPA3,0
M2T7Z1,0
M2U578,1
M2UJ60,0
M2URK9,0
M2V0Z8,0
M2V8C1,1
M2V933,1
M4HXU6,1
M4HXW5,1
M4HY05,1
M4HY08,1
M4HYC6,1
M4HYC8,1
M4HYP3,1
M4I1C6,1
M4VQY9,1
M5AW86,1
N4V6D4,1
O04408,1
O13284,1
O13489,1
O22184,0
O22340,1
O23390,1
O23651,0
O23945,1
O24474,1
O24475,1
O34707,1
O48651,1
O48666,1
O48935,1
O49853,1
O50406,1
O59947,1
O64404,1
O64405,1
O64961,1
O65323,1
O65434,0
O65435,1
O74165,1
O81086,1
O81191,1
O81192,1
O81193,1
O82139,1
O82140,1
O82146,1
P00183,1
P0C565,1
P0C8Y0,1
P0CJ42,0
P0CJ43,1
P0CU77,0
P0CV94,1
P0CV95,1
P0CV96,1
P0CV97,0
P0DI76,1
P0DI77,1
P0DL13,1
P0DO35,1
P0DO36,0
P0DO37,0
P0DO38,1
P0DO39,1
P0DO40,1
P0DO41,1
P0DO42,1
P0DO46,0
P0DO47,0
P0DO48,0
P0DPK6,1
P0DXI1,1
P0DXI2,1
P0DXW0,0
P13513,1
P27679,1
P29704,1
P32476,1
P33247,1
P33990,1
P36596,1
P37268,1
P38604,1
P38605,1
P40805,0
P48449,1
P48450,1
P49350,1
P53798,1
P53799,1
P53800,1
P54924,1
P55348,1
P55537,0
P55538,0
P59287,1
P59954,0
P77735,1
P78589,1
P84466,1
P85964,1
P93665,1
P9WEE6,0
P9WEE7,1
P9WEF0,1
P9WEG1,1
P9WEG7,0
P9WEG8,1
P9WEP0,1
P9WEP1,0
P9WEP2,0
P9WEP3,0
P9WEP4,0
P9WEQ0,1
P9WEQ1,0
P9WEQ2,1
P9WEQ3,0
P9WEQ4,0
P9WEQ5,0
P9WEQ6,0
P9WEQ7,0
P9WEQ8,1
P9WEQ9,0
P9WER0,1
P9WER1,0
P9WER5,1
P9WER6,1
P9WEV2,1
P9WEV3,1
P9WEV6,1
P9WEV7,1
P9WEW0,1
P9WEW1,1
P9WEW2,1
P9WEW7,0
P9WEW8,1
P9WEW9,0
P9WEX0,0
P9WEX1,0
P9WEX2,0
P9WEX3,1
P9WEX4,0
P9WEX5,0
P9WEX6,0
P9WEX7,0
P9WEX8,0
P9WEX9,1
P9WEY0,0
P9WEY1,0
P9WEY2,0
P9WEY4,1
P9WEY5,0
P9WEY6,0
P9WEY7,1
P9WPN2,0
P9WPN3,0
Q00835,1
Q00909,1
Q00G37,1
Q02769,1
Q03471,1
Q04782,1
Q08IT1,1
Q0C898,0
Q0C899,0
Q0C8A0,0
Q0C8A1,0
Q0C8A2,0
Q0C8A3,0
Q0C8A4,1
Q0C8A5,0
Q0C8A6,1
Q0C8A7,0
Q0C9L5,0
Q0CPG8,1
Q0CRW6,1
Q0CRW7,1
Q0E088,1
Q0JA81,1
Q0JA82,1
Q0JA83,0
Q0JEZ8,1
Q0JF02,1
Q0VHD6,1
Q10231,1
Q15FB1,0
Q15FB2,0
Q15FB3,0
Q15FB4,0
Q15FB5,0
Q15FB6,0
Q15FB7,0
Q1AHB2,1
Q1EG72,1
Q1G1A4,1
Q1XBU5,1
Q1ZXA1,1
Q20HU6,1
Q20HU7,1
Q24FB1,1
Q29VN1,0
Q29VN2,1
Q29VN3,1
Q2NM15,1
Q2QQJ5,1
Q2R712,1
Q2U0K2,0
Q2XPU6,1
Q2XPU7,1
Q2XSC4,1
Q2XSC5,1
Q2XSC6,1
Q308N0,1
Q32KR6,1
Q38710,1
Q38802,1
Q39548,1
Q39760,1
Q39761,1
Q39978,1
Q39979,1
Q39980,1
Q40577,1
Q41594,1
Q41771,1
Q43714,1
Q45221,0
Q45222,0
Q49SP3,1
Q49SP4,1
Q49SP5,1
Q49SP6,1
Q49SP7,1
Q4JHG3,1
Q4KSH9,1
Q4QSN4,1
Q4U3F6,1
Q4U3F7,1
Q4WAY3,1
Q4WAY4,1
Q4WAZ2,1
Q4WAZ3,1
Q4WAZ4,1
Q4WAZ6,1
Q4WBH9,1
Q4WBI0,1
Q4WBI3,1
Q4WBI4,1
Q4WBI5,1
Q4WES9,1
Q4WLC8,0
Q4WLC9,0
Q4WLD0,1
Q4WLD1,1
Q4WLD2,1
Q4WLD4,1
Q4WLD5,1
Q4WQ95,1
Q4WR16,1
Q50EK2,1
Q50L36,1
Q54BE5,1
Q54DR1,1
Q54P86,1
Q54TW4,1
Q54YE1,1
Q54YE2,1
Q55012,1
Q55D85,1
Q55E23,1
Q56RZ1,0
Q56RZ2,0
Q56RZ3,1
Q56RZ5,0
Q56RZ6,0
Q56RZ7,1
Q5AR21,1
Q5AR23,0
Q5AR27,0
Q5AR28,0
Q5AR29,0
Q5AR31,0
Q5AR32,0
Q5AR33,0
Q5AR34,1
Q5ATJ7,1
Q5ATK1,1
Q5GJ59,1
Q5GJ60,1
Q5KSN4,1
Q5KSN5,1
Q5MQ85,1
Q5R6U3,1
Q5SBP0,1
Q5SBP1,1
Q5SBP2,1
Q5SBP3,1
Q5SBP4,1
Q5SBP5,1
Q5SBP6,1
Q5SBP7,1
Q5UB07,1
Q5UQ90,0
Q5W283,1
Q66QH3,1
Q672F7,1
Q672V4,0
Q672V5,0
Q672V6,1
Q675L0,1
Q675L4,1
Q675L5,1
Q6A1B7,1
Q6BDZ9,1
Q6BE23,0
Q6BE24,1
Q6BE25,1
Q6E7D7,1
Q6EJ97,1
Q6ET36,1
Q6JD69,0
Q6JD70,1
Q6JD71,0
Q6JD72,0
Q6JD73,1
Q6PWU2,1
Q6Q3H2,1
Q6Q3H3,1
Q6USK1,1
Q6WAU0,1
Q6WAU1,1
Q6WP50,1
Q6XDB5,1
Q6Z2X6,1
Q6Z5I0,1
Q6Z5J6,1
Q6ZH94,1
Q752X9,1
Q75J90,1
Q764T8,1
Q796C3,1
Q7KWU0,1
Q7LJF8,1
Q7LJR6,1
Q7S4Z6,1
Q7XAS7,1
Q82IY3,1
Q82IY4,1
Q82RR7,1
Q84KL3,1
Q84KL4,1
Q84KL5,1
Q84KL6,1
Q84LB2,1
Q84LF0,1
Q84LF1,1
Q84LF2,1
Q84LG0,1
Q84NC8,1
Q84NC9,1
Q84ND0,1
Q84SM8,1
Q84UU4,1
Q84UU9,1
Q84UV0,1
Q84ZW8,1
Q86II4,1
Q8BLN5,1
Q8GUE4,1
Q8H2B4,1
Q8L5K3,1
Q8L5K4,1
Q8L7G4,0
Q8LSC2,1
Q8LSC3,1
Q8NIC1,1
Q8NIC8,1
Q8NID7,1
Q8NIG9,1
Q8NIH0,1
Q8NIH3,1
Q8NIH6,1
Q8NJA1,1
Q8RWT0,1
Q8SA63,1
Q8W3Z1,1
Q8W3Z2,1
Q8W3Z3,1
Q8W3Z4,1
Q92206,1
Q92459,1
Q93X23,1
Q93YA3,1
Q93YV0,1
Q947C4,1
Q948R6,1
Q948Z0,1
Q94G53,1
Q94JS8,1
Q96376,1
Q96WJ0,1
Q96WT2,1
Q9AJE3,1
Q9AJE4,1
Q9AR04,1
Q9AR86,1
Q9C1W3,1
Q9C446,1
Q9C447,0
Q9C448,0
Q9C449,0
Q9C450,0
Q9C451,0
Q9C5M3,1
Q9C6W6,0
Q9C748,1
Q9C8E3,0
Q9F1V8,1
Q9F1Y6,1
Q9FI27,0
Q9FI37,1
Q9FJV8,1
Q9FQ27,1
Q9FR95,1
Q9FT37,1
Q9FXY7,1
Q9FZI2,1
Q9HGZ6,1
Q9K498,1
Q9K499,1
Q9LH31,0
Q9LIA1,0
Q9LLR9,1
Q9LQ27,0
Q9LRH7,1
Q9LRH8,1
Q9LRR2,1
Q9LRZ6,1
Q9LS68,0
Q9LS76,0
Q9LSF8,1
Q9LUE0,1
Q9LUE2,1
Q9LVP7,1
Q9LVY2,1
Q9M7C9,1
Q9M7D0,1
Q9M7D1,1
Q9MB42,1
Q9SAK2,1
Q9SLP9,1
Q9SPN0,1
Q9SPN1,1
Q9SXV6,1
Q9SYN1,1
Q9T0J9,1
Q9T0K1,1
Q9UR08,1
Q9UVY5,1
Q9VFJ0,0
Q9X839,1
Q9XEH9,1
Q9XEI0,1
Q9XJ32,1
Q9Y753,1
Q9ZUH4,1
R4JGL8,1
R4JJJ1,1
R4JND9,1
R4JQS2,1
R4JQT5,1
R4YVJ8,0
R4YXW8,1
R4YZC3,1
R9QMQ9,1
R9QMR0,1
R9QMR1,1
R9QMR2,0
R9QMR3,1
R9QMR4,1
R9QMR5,1
R9QMR6,1
R9QMW1,1
R9QMW2,1
R9QMW3,1
R9QMW4,1
R9QMW5,1
R9QMW6,0
R9QMW7,1
R9QMW8,1
R9QMY7,0
R9QMY8,1
R9QMY9,1
R9QMZ0,1
S0DX56,1
S0EA85,1
S0ECT9,1
S0EGZ9,1
S0ENM8,0
T1RR71,1
T1RR72,1
T1RRI5,1
T1RRI8,1
T1RRJ4,1
T1RRJ6,1
T1RRL8,1
T1RRR9,1
T1RRS0,1
U3KYL2,1
U3LVL5,1
