candidate_id,evidence_quality_tier,domain_family,pfam_architecture,protein_name,organism_name,query_appearance_count,total_appearance_count,best_rank,mean_rank,compatible_appearances,mismatch_or_unsupported_appearances,query_fraction
A0A1H7I983,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptacidiphilus jiangxiensis,25,25,1,49.8,22,3,0.10416666666666667
A0A2T0T2D9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Umezawaea tangerina,25,25,1,43.08,24,1,0.10416666666666667
A0ABW0Z3A2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces gamaensis,25,25,6,53.48,23,2,0.10416666666666667
A0A5N5W9P7,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces mobaraensis (Streptoverticillium mobaraense),25,25,8,56.6,23,2,0.10416666666666667
A0ABX9EEW8,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Lentzea atacamensis,24,24,1,48.291666666666664,22,2,0.1
A0ABV9B923,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase family protein,Streptomyces vulcanius,24,24,2,17.125,24,0,0.1
A0A1V0TYI6,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces gilvosporeus,24,24,4,33.5,24,0,0.1
A0AAV9WYU3,D_named_predicted,bacterial_classI,bacterial_classI,Geranylgeranyl pyrophosphate synthase,Orbilia ellipsospora,24,24,6,46.083333333333336,24,0,0.1
A0ABW7Z786,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Nonomuraea typhae,24,24,7,34.291666666666664,24,0,0.1
A0A2P4UF20,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Actinomadura rubteroloni,24,24,8,46.375,19,5,0.1
A0ABP7HMF9,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces coacervatus,24,24,38,67.875,23,1,0.1
A0ABW5GWI6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Amycolatopsis samaneae,23,23,2,47.65217391304348,23,0,0.09583333333333334
A0A7W7LCX4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces netropsis (Streptoverticillium netropsis),23,23,3,47.82608695652174,17,6,0.09583333333333334
A0ABN0XEG3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces blastmyceticus,23,23,4,51.95652173913044,23,0,0.09583333333333334
A0A117PYW3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces yokosukanensis,23,23,9,51.47826086956522,20,3,0.09583333333333334
A0ABU0Q673,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces achromogenes,23,23,9,49.17391304347826,19,4,0.09583333333333334
A0A066Y070,D_named_predicted,bacterial_classI,bacterial_classI,Putative polyprenyl synthetase,Colletotrichum sublineola (Sorghum anthracnose fungus),23,23,21,55.130434782608695,22,1,0.09583333333333334
A0A918ZWU4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces longispororuber,23,23,24,70.78260869565217,21,2,0.09583333333333334
A0A9P9AMM3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Thelonectria olida,22,22,1,53.77272727272727,22,0,0.09166666666666666
A0ABV6TCZ5,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces noboritoensis,22,22,1,61.72727272727273,21,1,0.09166666666666666
A0ABV9CGE5,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,Prenyltransferase/squalene oxidase repeat-containing protein,Sphaerisporangium dianthi,22,22,1,34.72727272727273,1,21,0.09166666666666666
A0A0G2FJL6,D_named_predicted,bacterial_classI,bacterial_classI,geranylgeranyl diphosphate synthase (EC 2.5.1.29),Diaporthe ampelina,22,22,2,50.68181818181818,16,6,0.09166666666666666
A0ABQ5XSL6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Dyella acidisoli,22,22,2,40.68181818181818,21,1,0.09166666666666666
A0A1I0RQ94,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chitinophaga arvensicola,22,22,3,48.68181818181818,22,0,0.09166666666666666
A0A543NEV6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Haloactinospora alba,22,22,3,52.36363636363637,22,0,0.09166666666666666
A0A067NCK3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Botryobasidium botryosum (strain FD-172 SS1),22,22,5,45.72727272727273,19,3,0.09166666666666666
A0ABZ1JYL7,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Kitasatospora papulosa,22,22,5,54.40909090909091,22,0,0.09166666666666666
A0A1H9XSA8,D_named_predicted,bacterial_classI,bacterial_classI,"Terpene synthase family, metal binding domain",Lentzea flaviverrucosa,22,22,7,54.45454545454545,22,0,0.09166666666666666
A0A918YRN7,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces alanosinicus,22,22,8,53.18181818181818,20,2,0.09166666666666666
A0ABP3JFK8,D_named_predicted,bacterial_classI,bacterial_classI,Amine oxidase domain-containing protein,Streptomyces olivaceiscleroticus,22,22,8,58.09090909090909,18,4,0.09166666666666666
A0ACC7PFW0,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudomonas imrae,22,22,10,54.13636363636363,22,0,0.09166666666666666
A0A085WGK2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Hyalangium minutum,22,22,13,52.27272727272727,17,5,0.09166666666666666
A0ABS0TW80,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Serratia proteamaculans,21,21,1,50.095238095238095,21,0,0.0875
A0ABW0YVC8,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces gamaensis,21,21,1,43.04761904761905,20,1,0.0875
A0ABW2JQL7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces monticola,21,21,1,41.42857142857143,17,4,0.0875
A0A103E772,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Burkholderia singularis,21,21,2,42.19047619047619,21,0,0.0875
A0ABS5AU40,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Crossiella equi,21,21,2,58.285714285714285,20,1,0.0875
A0A0D7CIP9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces natalensis ATCC 27448,21,21,3,42.0,19,2,0.0875
A0ABS6P5P4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudomonas azadiae,21,21,3,48.38095238095238,21,0,0.0875
A0ABV1X9G4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces hyaluromycini,21,21,3,37.57142857142857,16,5,0.0875
A0A103E7D3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Burkholderia singularis,21,21,4,51.333333333333336,20,1,0.0875
A0A1E7L4D8,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces nanshensis,21,21,4,44.714285714285715,18,3,0.0875
A0ABN3L0L1,D_named_predicted,bacterial_classI,bacterial_classI,Family 2 encapsulin nanocompartment cargo protein terpene cyclase,Streptomyces thermolineatus,21,21,4,58.904761904761905,17,4,0.0875
A0ABW7UKK5,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces pathocidini,21,21,4,35.476190476190474,20,1,0.0875
A0A366LMA2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Spongiactinospora rosea,21,21,5,40.0,21,0,0.0875
A0A0K9XLW7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces caatingaensis,21,21,6,29.523809523809526,20,1,0.0875
A0A1H8F0X3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chitinophaga rupis,21,21,7,49.857142857142854,21,0,0.0875
A0A7W9ILQ1,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptosporangium becharense,21,21,7,50.04761904761905,21,0,0.0875
A0ABV3M7L6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces huasconensis,21,21,14,46.333333333333336,21,0,0.0875
A0ABT3IPT1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chitinophaga nivalis,21,21,17,42.285714285714285,19,2,0.0875
A0A081XQ53,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces toyocaensis,20,20,1,37.5,17,3,0.08333333333333333
A0A1V4AG47,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces tsukubensis,20,20,1,27.45,20,0,0.08333333333333333
A0A918E1K3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Wenjunlia tyrosinilytica,20,20,2,45.85,19,1,0.08333333333333333
A0A1S2QQ04,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces monashensis,20,20,3,43.35,19,1,0.08333333333333333
A0ABT0GAQ2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Actinomadura luzonensis,20,20,3,23.85,20,0,0.08333333333333333
A0A3A9YMF9,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces hoynatensis,20,20,4,38.5,19,1,0.08333333333333333
A0A1T4SXA1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chitinophaga eiseniae,20,20,5,46.6,20,0,0.08333333333333333
A0A511T517,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Myxococcus fulvus,20,20,6,58.05,20,0,0.08333333333333333
A0ABW0X3J6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Kitasatospora misakiensis,20,20,7,42.85,14,6,0.08333333333333333
A0A370H3T4,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Nocardia mexicana,20,20,9,46.9,20,0,0.08333333333333333
A0A1G9SP05,C_homology_named,bacterial_classI,bacterial_classI,Pulcherriminic acid synthase,Allokutzneria albata (Kibdelosporangium albatum),20,20,14,49.85,15,5,0.08333333333333333
A0A1D7QJP7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pedobacter steynii,19,19,1,37.94736842105263,17,2,0.07916666666666666
A0A1I2L895,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Actinacidiphila alni,19,19,2,40.63157894736842,19,0,0.07916666666666666
A0A511T8B9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Myxococcus fulvus,19,19,2,57.26315789473684,17,2,0.07916666666666666
A0A7W7L8K6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces netropsis (Streptoverticillium netropsis),19,19,2,47.68421052631579,16,3,0.07916666666666666
A0AAN6M8R6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudopithomyces chartarum,19,19,2,38.578947368421055,15,4,0.07916666666666666
A0A840P7N1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Thermocatellispora tengchongensis,19,19,5,53.31578947368421,16,3,0.07916666666666666
A0A5B8JDS6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces qinzhouensis,19,19,8,57.10526315789474,18,1,0.07916666666666666
A0A7K1L1G9,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Actinomadura litoris,19,19,8,34.473684210526315,17,2,0.07916666666666666
A0A2N3Y098,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Saccharopolyspora spinosa,19,19,9,63.78947368421053,19,0,0.07916666666666666
A0A2M9B5C0,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,Squalene cyclase,Hymenobacter chitinivorans DSM 11115,19,19,10,58.78947368421053,0,19,0.07916666666666666
A0A5B8JAB9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces qinzhouensis,19,19,10,53.473684210526315,16,3,0.07916666666666666
A0A6G4WX76,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces boncukensis,19,19,11,58.63157894736842,19,0,0.07916666666666666
A0ABP9RBG2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudonocardia eucalypti,19,19,11,58.36842105263158,19,0,0.07916666666666666
A0A919A0J7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces longispororuber,18,18,2,51.611111111111114,14,4,0.075
A0A103E771,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Burkholderia singularis,18,18,3,42.833333333333336,17,1,0.075
A0A081XM02,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces toyocaensis,18,18,4,48.833333333333336,18,0,0.075
A0A1H1IP35,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudomonas grimontii,18,18,4,49.666666666666664,17,1,0.075
A0ABP3J200,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces luteireticuli,18,18,4,52.27777777777778,16,2,0.075
A0A1H7VI30,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptacidiphilus jiangxiensis,18,18,5,37.333333333333336,13,5,0.075
A0A5B8IG50,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces qinzhouensis,18,18,5,53.333333333333336,17,1,0.075
A0A0H2RZ09,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Schizopora paradoxa,18,18,6,37.833333333333336,15,3,0.075
A0ABU4NLH8,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces europaeiscabiei,18,18,6,61.05555555555556,18,0,0.075
A0A1W7D0K8,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces marincola,18,18,7,54.833333333333336,17,1,0.075
A0A646KML2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces jumonjinensis,18,18,7,48.94444444444444,14,4,0.075
E5XM62,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Segniliparus rugosus (strain ATCC BAA-974 / DSM 45345 / CCUG 50838 / CIP 108380 / JCM 13579 / CDC 945),18,18,8,46.55555555555556,16,2,0.075
A0A7R9KLG1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Medioppia subpectinata,18,18,9,39.5,15,3,0.075
A0A917NRJ8,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces lacrimifluminis,18,18,9,46.55555555555556,16,2,0.075
A0ABV5P6Z1,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces cremeus,18,18,10,34.22222222222222,18,0,0.075
A0AAD6S5C0,D_named_predicted,bacterial_classI,bacterial_classI,Isoprenoid synthase domain-containing protein,Mycena alexandri,18,18,13,51.888888888888886,17,1,0.075
A0A250IH91,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Melittangium boletus DSM 14713,18,18,14,49.44444444444444,17,1,0.075
A0A9X2VWT5,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Umezawaea endophytica,18,18,21,42.166666666666664,18,0,0.075
A0ABP7QXX8,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Allokutzneria multivorans,17,17,1,48.23529411764706,17,0,0.07083333333333333
A0A086A3J9,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chryseobacterium soli,17,17,2,36.0,17,0,0.07083333333333333
A0AAN7AFX1,D_named_predicted,bacterial_classI,bacterial_classI,geranylgeranyl diphosphate synthase (EC 2.5.1.29),Podospora australis,17,17,2,46.35294117647059,17,0,0.07083333333333333
A0AAV9HXA4,D_named_predicted,bacterial_classI,bacterial_classI,geranylgeranyl diphosphate synthase (EC 2.5.1.29),Cladorrhinum samala,17,17,2,46.35294117647059,17,0,0.07083333333333333
A0ABX1C4R3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces zingiberis,17,17,2,20.88235294117647,17,0,0.07083333333333333
A0A3G2JQF5,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces dangxiongensis,17,17,3,49.588235294117645,17,0,0.07083333333333333
A0ABQ3TU81,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces hygroscopicus,17,17,3,54.35294117647059,17,0,0.07083333333333333
A0A1I0RMY0,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chitinophaga arvensicola,17,17,4,40.1764705882353,17,0,0.07083333333333333
A0AA40AY33,D_named_predicted,bacterial_classI,bacterial_classI,geranylgeranyl diphosphate synthase (EC 2.5.1.29),Lasiosphaeris hirsuta,17,17,4,37.294117647058826,16,1,0.07083333333333333
A0ABP6X3B2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Nonomuraea rosea,17,17,4,21.88235294117647,16,1,0.07083333333333333
A0AAJ0M099,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chaetomium strumarium,17,17,5,58.294117647058826,13,4,0.07083333333333333
A0A1M7KH16,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chryseobacterium polytrichastri,17,17,6,42.588235294117645,16,1,0.07083333333333333
A0ABT6T803,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces luteolus,17,17,7,46.23529411764706,16,1,0.07083333333333333
A0A226DX49,D_named_predicted,bacterial_classI,bacterial_classI,Germacrene A synthase,Folsomia candida (Springtail),17,17,8,53.411764705882355,13,4,0.07083333333333333
A0A3A9WT41,C_homology_named,triterpene_cyclase,osc_full,Squalene--hopene cyclase (EC 5.4.99.17),Streptomyces radicis,17,17,8,37.294117647058826,2,15,0.07083333333333333
