representative,entry,cluster_id,min_sequence_identity,cluster_size
A0A0B4G504,A0A0B4G504,A0A0B4G504,0.5,1
A0A0E3D8L2,A0A0E3D8L2,A0A0E3D8L2,0.5,2
A0A0E3D8L2,A0A140JWU1,A0A0E3D8L2,0.5,2
A0A0E3D8L3,A0A0E3D8L3,A0A0E3D8L3,0.5,1
A0A0E3D8M3,A0A0E3D8M3,A0A0E3D8M3,0.5,2
A0A0E3D8M3,E3UBL5,A0A0E3D8M3,0.5,2
A0A0E3D8M4,A0A0E3D8M4,A0A0E3D8M4,0.5,2
A0A0E3D8M4,A0A140JWS7,A0A0E3D8M4,0.5,2
A0A0E3D8M6,A0A0E3D8M6,A0A0E3D8M6,0.5,2
A0A0E3D8M6,A0A140JWT8,A0A0E3D8M6,0.5,2
A0A0E3D8N3,A0A0E3D8N3,A0A0E3D8N3,0.5,1
A0A0E3D8N7,A0A0E3D8N7,A0A0E3D8N7,0.5,5
A0A0E3D8N7,A0A0E3D8P8,A0A0E3D8N7,0.5,5
A0A0E3D8N7,A0A140JWT0,A0A0E3D8N7,0.5,5
A0A0E3D8N7,A9JPE2,A0A0E3D8N7,0.5,5
A0A0E3D8N7,Q9C450,A0A0E3D8N7,0.5,5
A0A0E3D8P5,A0A0E3D8P5,A0A0E3D8P5,0.5,2
A0A0E3D8P5,A0A140JWT6,A0A0E3D8P5,0.5,2
A0A0F7TN06,A0A0F7TN06,A0A0F7TN06,0.5,6
A0A0F7TN06,A0A0F7TN69,A0A0F7TN06,0.5,6
A0A0F7TN06,A0A0U5GMR5,A0A0F7TN06,0.5,6
A0A0F7TN06,A0A0U5HAP0,A0A0F7TN06,0.5,6
A0A0F7TN06,C8VQ92,A0A0F7TN06,0.5,6
A0A0F7TN06,Q5AR33,A0A0F7TN06,0.5,6
A0A0F7TN11,A0A0F7TN11,A0A0F7TN11,0.5,3
A0A0F7TN11,A0A0U5CJT8,A0A0F7TN11,0.5,3
A0A0F7TN11,Q5AR29,A0A0F7TN11,0.5,3
A0A0F7TWX5,A0A0F7TWX5,A0A0F7TWX5,0.5,2
A0A0F7TWX5,Q0CPG8,A0A0F7TWX5,0.5,2
A0A0H5BB17,A0A0H5BB10,A0A0H5BB17,0.5,2
A0A0H5BB17,A0A0H5BB17,A0A0H5BB17,0.5,2
A0A0H5BN61,A0A0H5BN57,A0A0H5BN61,0.5,2
A0A0H5BN61,A0A0H5BN61,A0A0H5BN61,0.5,2
A0A0M4KRN2,A0A0M4KRN2,A0A0M4KRN2,0.5,1
A0A0M8MW83,A0A0M8MW83,A0A0M8MW83,0.5,4
A0A0M8MW83,J7FIP8,A0A0M8MW83,0.5,4
A0A0M8MW83,M1V8K0,A0A0M8MW83,0.5,4
A0A0M8MW83,Q15FB5,A0A0M8MW83,0.5,4
A0A0M8MZA1,A0A0M8MZA1,A0A0M8MZA1,0.5,1
A0A0M9VUP1,A0A0E3D8N1,A0A0M9VUP1,0.5,11
A0A0M9VUP1,A0A0M9VUP1,A0A0M9VUP1,0.5,11
A0A0M9VUP1,A0A140JWT3,A0A0M9VUP1,0.5,11
A0A0M9VUP1,A0A2I6PJ13,A0A0M9VUP1,0.5,11
A0A0M9VUP1,A0A2Z6E9B9,A0A0M9VUP1,0.5,11
A0A0M9VUP1,J7FJH2,A0A0M9VUP1,0.5,11
A0A0M9VUP1,M1UZ07,A0A0M9VUP1,0.5,11
A0A0M9VUP1,Q15FB2,A0A0M9VUP1,0.5,11
A0A0M9VUP1,Q15FB7,A0A0M9VUP1,0.5,11
A0A0M9VUP1,Q672V5,A0A0M9VUP1,0.5,11
A0A0M9VUP1,Q9C448,A0A0M9VUP1,0.5,11
A0A0N0DCA4,A0A0N0DCA4,A0A0N0DCA4,0.5,2
A0A0N0DCA4,D2E9W6,A0A0N0DCA4,0.5,2
A0A0N0RTK4,A0A0N0RTK4,A0A0N0RTK4,0.5,5
A0A0N0RTK4,J7FK10,A0A0N0RTK4,0.5,5
A0A0N0RTK4,M1VE36,A0A0N0RTK4,0.5,5
A0A0N0RTK4,Q56RZ2,A0A0N0RTK4,0.5,5
A0A0N0RTK4,Q56RZ6,A0A0N0RTK4,0.5,5
A0A0U4ZPL6,A0A0F7TXA8,A0A0U4ZPL6,0.5,5
A0A0U4ZPL6,A0A0U4ZPL6,A0A0U4ZPL6,0.5,5
A0A0U4ZPL6,A0A1E1FFN7,A0A0U4ZPL6,0.5,5
A0A0U4ZPL6,Q0C8A5,A0A0U4ZPL6,0.5,5
A0A0U4ZPL6,Q5ATK1,A0A0U4ZPL6,0.5,5
A0A0U4ZX08,A0A0U4ZX08,A0A0U4ZX08,0.5,1
A0A0U5CNN8,A0A0U5CNN8,A0A0U5CNN8,0.5,1
A0A0U5CNP2,A0A0U5CNP2,A0A0U5CNP2,0.5,1
A0A0U5GFR4,A0A0U5GFR4,A0A0U5GFR4,0.5,1
A0A0U5GGX2,A0A0U5GGX2,A0A0U5GGX2,0.5,1
A0A0U5GHC1,A0A0F7TRU0,A0A0U5GHC1,0.5,3
A0A0U5GHC1,A0A0U5GHC1,A0A0U5GHC1,0.5,3
A0A0U5GHC1,Q5AR31,A0A0U5GHC1,0.5,3
A0A0U5GHH9,A0A0U5GHH9,A0A0U5GHH9,0.5,1
A0A0U5GHU6,A0A0F7TN16,A0A0U5GHU6,0.5,3
A0A0U5GHU6,A0A0U5GHU6,A0A0U5GHU6,0.5,3
A0A0U5GHU6,C8VQ93,A0A0U5GHU6,0.5,3
A0A0U5GIM7,A0A0F7TQP2,A0A0U5GIM7,0.5,2
A0A0U5GIM7,A0A0U5GIM7,A0A0U5GIM7,0.5,2
A0A0U5GJY1,A0A0F7TSZ1,A0A0U5GJY1,0.5,3
A0A0U5GJY1,A0A0U5GJY1,A0A0U5GJY1,0.5,3
A0A0U5GJY1,A0A1U8QLK0,A0A0U5GJY1,0.5,3
A0A0U5GK88,A0A0U5GK88,A0A0U5GK88,0.5,1
A0A0U5GNT1,A0A0U5GNT1,A0A0U5GNT1,0.5,1
A0A0U5GQ05,A0A0U5GQ05,A0A0U5GQ05,0.5,1
A0A0U5GRB4,A0A0U5GRB4,A0A0U5GRB4,0.5,1
A0A140JWS4,A0A0E3D8P9,A0A140JWS4,0.5,2
A0A140JWS4,A0A140JWS4,A0A140JWS4,0.5,2
A0A140JWS5,A0A0E3D8L9,A0A140JWS5,0.5,2
A0A140JWS5,A0A140JWS5,A0A140JWS5,0.5,2
A0A140JWS6,A0A140JWS6,A0A140JWS6,0.5,1
A0A140JWS8,A0A0E3D8N4,A0A140JWS8,0.5,2
A0A140JWS8,A0A140JWS8,A0A140JWS8,0.5,2
A0A140JWS9,A0A0E3D8L0,A0A140JWS9,0.5,2
A0A140JWS9,A0A140JWS9,A0A140JWS9,0.5,2
A0A140JWT1,A0A0E3D8L5,A0A140JWT1,0.5,7
A0A140JWT1,A0A0E3D8L6,A0A140JWT1,0.5,7
A0A140JWT1,A0A0F7TXA0,A0A140JWT1,0.5,7
A0A140JWT1,A0A140JWT1,A0A140JWT1,0.5,7
A0A140JWT1,A0A2I6PIZ2,A0A140JWT1,0.5,7
A0A140JWT1,Q672V4,A0A140JWT1,0.5,7
A0A140JWT1,Q9C447,A0A140JWT1,0.5,7
A0A140JWT4,A0A0E3D8K9,A0A140JWT4,0.5,5
A0A140JWT4,A0A0E3D8P0,A0A140JWT4,0.5,5
A0A140JWT4,A0A140JWT4,A0A140JWT4,0.5,5
A0A140JWT4,A9JPE0,A0A140JWT4,0.5,5
A0A140JWT4,Q9C449,A0A140JWT4,0.5,5
A0A140JWT5,A0A140JWT5,A0A140JWT5,0.5,1
A0A140JWT7,A0A0E3D8N6,A0A140JWT7,0.5,2
A0A140JWT7,A0A140JWT7,A0A140JWT7,0.5,2
A0A140JWT9,A0A0E3D8M1,A0A140JWT9,0.5,2
A0A140JWT9,A0A140JWT9,A0A140JWT9,0.5,2
A0A140JWU0,A0A0E3D8Q1,A0A140JWU0,0.5,2
A0A140JWU0,A0A140JWU0,A0A140JWU0,0.5,2
A0A1B4XBG5,A0A1B4XBG5,A0A1B4XBG5,0.5,1
A0A1B7YCK2,A0A0B2XGM8,A0A1B7YCK2,0.5,11
A0A1B7YCK2,A0A1B7YCK2,A0A1B7YCK2,0.5,11
A0A1B7YCK2,A0A3T0ZHL4,A0A1B7YCK2,0.5,11
A0A1B7YCK2,A0A8D5M7V9,A0A1B7YCK2,0.5,11
A0A1B7YCK2,I1RL16,A0A1B7YCK2,0.5,11
A0A1B7YCK2,P9WEQ7,A0A1B7YCK2,0.5,11
A0A1B7YCK2,P9WEW7,A0A1B7YCK2,0.5,11
A0A1B7YCK2,P9WEX2,A0A1B7YCK2,0.5,11
A0A1B7YCK2,P9WEX8,A0A1B7YCK2,0.5,11
A0A1B7YCK2,Q4WBI5,A0A1B7YCK2,0.5,11
A0A1B7YCK2,Q4WLD0,A0A1B7YCK2,0.5,11
A0A1D6HSP4,A0A1D6F9Y9,A0A1D6HSP4,0.5,2
A0A1D6HSP4,A0A1D6HSP4,A0A1D6HSP4,0.5,2
A0A1D6LTV0,A0A1D6LTV0,A0A1D6LTV0,0.5,1
A0A1E1FFL1,A0A1E1FFL1,A0A1E1FFL1,0.5,1
A0A1E1FFL4,A0A1E1FFL4,A0A1E1FFL4,0.5,1
A0A1E1FFM3,A0A1E1FFM3,A0A1E1FFM3,0.5,1
A0A1E1FFN3,A0A1E1FFN3,A0A1E1FFN3,0.5,1
A0A1G9UQQ0,A0A1G9UQQ0,A0A1G9UQQ0,0.5,1
A0A1G9VRW7,A0A1G9VRW7,A0A1G9VRW7,0.5,1
A0A1L2D3T3,A0A0D4D912,A0A1L2D3T3,0.5,9
A0A1L2D3T3,A0A1L2D3T3,A0A1L2D3T3,0.5,9
A0A1L2D3T3,B0FGA9,A0A1L2D3T3,0.5,9
A0A1L2D3T3,F8UL80,A0A1L2D3T3,0.5,9
A0A1L2D3T3,I6QSN0,A0A1L2D3T3,0.5,9
A0A1L2D3T3,Q4U3F6,A0A1L2D3T3,0.5,9
A0A1L2D3T3,Q4U3F7,A0A1L2D3T3,0.5,9
A0A1L2D3T3,Q8LSC2,A0A1L2D3T3,0.5,9
A0A1L2D3T3,Q8LSC3,A0A1L2D3T3,0.5,9
A0A1L5YKS7,A0A1L5YKS7,A0A1L5YKS7,0.5,1
A0A1L7VI12,A0A1L7VI12,A0A1L7VI12,0.5,1
A0A1L9UKS1,A0A0P0ZD79,A0A1L9UKS1,0.5,2
A0A1L9UKS1,A0A1L9UKS1,A0A1L9UKS1,0.5,2
A0A1L9WQI2,A0A0P0ZEM1,A0A1L9WQI2,0.5,4
A0A1L9WQI2,A0A169T193,A0A1L9WQI2,0.5,4
A0A1L9WQI2,A0A1L9WQI2,A0A1L9WQI2,0.5,4
A0A1L9WQI2,A0A8K1AY78,A0A1L9WQI2,0.5,4
A0A1L9WUI2,A0A1L9WUI2,A0A1L9WUI2,0.5,1
A0A1L9WUM2,A0A1L9WUM2,A0A1L9WUM2,0.5,1
A0A1L9WUX8,A0A1L9WUX8,A0A1L9WUX8,0.5,1
A0A1P7Y0C9,A0A1P7Y0A2,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,A0A1P7Y0A8,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,A0A1P7Y0C9,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,A0A1P7Y0D0,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,A0A1P7Y0D4,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,C9E894,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,D2K762,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,O48666,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,P53799,A0A1P7Y0C9,0.5,10
A0A1P7Y0C9,P53800,A0A1P7Y0C9,0.5,10
A0A1U8QGE6,A0A0U5GJ41,A0A1U8QGE6,0.5,2
A0A1U8QGE6,A0A1U8QGE6,A0A1U8QGE6,0.5,2
A0A1U8QHE3,A0A1U8QHE3,A0A1U8QHE3,0.5,1
A0A1V0E492,A0A1V0E492,A0A1V0E492,0.5,2
A0A1V0E492,A0A1V0E4A6,A0A1V0E492,0.5,2
A0A1V1FNZ5,A0A1V1FNZ5,A0A1V1FNZ5,0.5,1
A0A1W6QDI6,A0A075FBT3,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A0U4CDK4,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A1W6QDI6,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A1X9ISP7,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A1Z3GBK8,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A1Z3GC64,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A2K9RFY0,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A3G1QTS7,A0A1W6QDI6,0.5,16
A0A1W6QDI6,A0A5P8DI06,A0A1W6QDI6,0.5,16
A0A1W6QDI6,B9T625,A0A1W6QDI6,0.5,16
A0A1W6QDI6,H6VLG5,A0A1W6QDI6,0.5,16
A0A1W6QDI6,K4IAL8,A0A1W6QDI6,0.5,16
A0A1W6QDI6,Q39548,A0A1W6QDI6,0.5,16
A0A1W6QDI6,Q9SAK2,A0A1W6QDI6,0.5,16
A0A1W6QDI6,Q9XEH9,A0A1W6QDI6,0.5,16
A0A1W6QDI6,Q9XEI0,A0A1W6QDI6,0.5,16
A0A1W6QDI7,A0A075FBG7,A0A1W6QDI7,0.5,7
A0A1W6QDI7,A0A1W6QDI7,A0A1W6QDI7,0.5,7
A0A1W6QDI7,A0A2K9RFZ2,A0A1W6QDI7,0.5,7
A0A1W6QDI7,A0A2K9RFZ9,A0A1W6QDI7,0.5,7
A0A1W6QDI7,A0A5P8DI07,A0A1W6QDI7,0.5,7
A0A1W6QDI7,C8XPS0,A0A1W6QDI7,0.5,7
A0A1W6QDI7,G8GJ94,A0A1W6QDI7,0.5,7
A0A1X9IRP7,A0A075FA51,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A075FAK4,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A1X9IRP7,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A1X9IRQ7,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A1X9IRT6,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A2K9RFZ7,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A2K9RFZ8,A0A1X9IRP7,0.5,12
A0A1X9IRP7,A0A5P8DHZ6,A0A1X9IRP7,0.5,12
A0A1X9IRP7,B8PQ84,A0A1X9IRP7,0.5,12
A0A1X9IRP7,G3CCC0,A0A1X9IRP7,0.5,12
A0A1X9IRP7,G8GJ95,A0A1X9IRP7,0.5,12
A0A1X9IRP7,G8GJ96,A0A1X9IRP7,0.5,12
A0A1X9ISH5,A0A1X9ISH5,A0A1X9ISH5,0.5,1
A0A1Y0BRF2,A0A1Y0BRF2,A0A1Y0BRF2,0.5,3
A0A1Y0BRF2,B6HUQ4,A0A1Y0BRF2,0.5,3
A0A1Y0BRF2,Q0C8A1,A0A1Y0BRF2,0.5,3
A0A1Y0BRF4,A0A1Y0BRF4,A0A1Y0BRF4,0.5,2
A0A1Y0BRF4,B6HV38,A0A1Y0BRF4,0.5,2
A0A1Y0BRF5,A0A1Y0BRF5,A0A1Y0BRF5,0.5,2
A0A1Y0BRF5,B6HV37,A0A1Y0BRF5,0.5,2
A0A1Y1C7Q5,A0A1Y1C7Q5,A0A1Y1C7Q5,0.5,1
A0A1Y1C7S2,A0A1Y1C7S2,A0A1Y1C7S2,0.5,1
A0A1Z3GCD1,A0A1Z3GCD1,A0A1Z3GCD1,0.5,2
A0A1Z3GCD1,A0A3G1QTT3,A0A1Z3GCD1,0.5,2
A0A284RNH4,A0A0D2L718,A0A284RNH4,0.5,11
A0A284RNH4,A0A284RNH4,A0A284RNH4,0.5,11
A0A284RNH4,A0A348B784,A0A284RNH4,0.5,11
A0A284RNH4,A0A348B790,A0A284RNH4,0.5,11
A0A284RNH4,A0A4S8MAF3,A0A284RNH4,0.5,11
A0A284RNH4,A0A5Q0QN66,A0A284RNH4,0.5,11
A0A284RNH4,A0A5Q0QNH9,A0A284RNH4,0.5,11
A0A284RNH4,P0DL13,A0A284RNH4,0.5,11
A0A284RNH4,P9WEW0,A0A284RNH4,0.5,11
A0A284RNH4,P9WEW1,A0A284RNH4,0.5,11
A0A284RNH4,P9WEW2,A0A284RNH4,0.5,11
A0A2I1BSV9,A0A097ZPE0,A0A2I1BSV9,0.5,9
A0A2I1BSV9,A0A0F7U103,A0A2I1BSV9,0.5,9
A0A2I1BSV9,A0A0U5GFS8,A0A2I1BSV9,0.5,9
A0A2I1BSV9,A0A1E1FFN8,A0A2I1BSV9,0.5,9
A0A2I1BSV9,A0A1Y0BRF1,A0A2I1BSV9,0.5,9
A0A2I1BSV9,A0A2I1BSV9,A0A2I1BSV9,0.5,9
A0A2I1BSV9,B6HV32,A0A2I1BSV9,0.5,9
A0A2I1BSV9,Q0C8A4,A0A2I1BSV9,0.5,9
A0A2I1BSV9,Q5ATJ7,A0A2I1BSV9,0.5,9
A0A2I1BSW0,A0A2I1BSW0,A0A2I1BSW0,0.5,1
A0A2I1BSW6,A0A2I1BSW6,A0A2I1BSW6,0.5,1
A0A2I1BSX0,A0A2I1BSX0,A0A2I1BSX0,0.5,1
A0A2I1BSZ6,A0A2I1BSZ6,A0A2I1BSZ6,0.5,1
A0A2I1BT09,A0A097ZPE3,A0A2I1BT09,0.5,9
A0A2I1BT09,A0A0F7TXA1,A0A2I1BT09,0.5,9
A0A2I1BT09,A0A0U5CJV1,A0A2I1BT09,0.5,9
A0A2I1BT09,A0A1E1FFM8,A0A2I1BT09,0.5,9
A0A2I1BT09,A0A1Y0BRF7,A0A2I1BT09,0.5,9
A0A2I1BT09,A0A2I1BT09,A0A2I1BT09,0.5,9
A0A2I1BT09,B6HV35,A0A2I1BT09,0.5,9
A0A2I1BT09,Q0C8A6,A0A2I1BT09,0.5,9
A0A2I1BT09,Q5AR21,A0A2I1BT09,0.5,9
A0A2I1BT15,A0A2I1BT15,A0A2I1BT15,0.5,1
A0A2I1BT56,A0A2I1BT56,A0A2I1BT56,0.5,1
A0A2I6PIZ1,A0A2I6PIZ1,A0A2I6PIZ1,0.5,1
A0A2I6PIZ6,A0A2I6PIZ6,A0A2I6PIZ6,0.5,1
A0A2I6PIZ7,A0A0E3D8M5,A0A2I6PIZ7,0.5,3
A0A2I6PIZ7,A0A2I6PIZ7,A0A2I6PIZ7,0.5,3
A0A2I6PIZ7,Q9C451,A0A2I6PIZ7,0.5,3
A0A2I6PIZ8,A0A2I6PIZ8,A0A2I6PIZ8,0.5,1
A0A2I6PIZ9,A0A2I6PIZ9,A0A2I6PIZ9,0.5,1
A0A2I6PJ00,A0A2I6PJ00,A0A2I6PJ00,0.5,1
A0A2I6PJ01,A0A2I6PJ01,A0A2I6PJ01,0.5,1
A0A2I6PJ02,A0A0E3D8N0,A0A2I6PJ02,0.5,2
A0A2I6PJ02,A0A2I6PJ02,A0A2I6PJ02,0.5,2
A0A2I6PJ08,A0A2I6PJ08,A0A2I6PJ08,0.5,1
A0A2I6PJ12,A0A2I6PJ12,A0A2I6PJ12,0.5,1
A0A2P1DP74,A0A2P1DP74,A0A2P1DP74,0.5,1
A0A2P1DP75,A0A2P1DP75,A0A2P1DP75,0.5,1
A0A2P1DP77,A0A2P1DP77,A0A2P1DP77,0.5,1
A0A2P1DP82,A0A2P1DP82,A0A2P1DP82,0.5,1
A0A2P1DP87,A0A2P1DP87,A0A2P1DP87,0.5,1
A0A2P1DP90,A0A2P1DP90,A0A2P1DP90,0.5,1
A0A2P1DP91,A0A2P1DP91,A0A2P1DP91,0.5,1
A0A2P1DP94,A0A2P1DP94,A0A2P1DP94,0.5,1
A0A2P1DP98,A0A2P1DP98,A0A2P1DP98,0.5,1
A0A2P1DPA5,A0A2P1DPA5,A0A2P1DPA5,0.5,1
A0A2R4QKX7,A0A2R4QKX7,A0A2R4QKX7,0.5,1
A0A2U8U2K8,A0A2U8U2K8,A0A2U8U2K8,0.5,1
A0A2U8U2L0,A0A2U8U2L0,A0A2U8U2L0,0.5,1
A0A2U8U2L2,A0A2U8U2L2,A0A2U8U2L2,0.5,1
A0A2U8U2L4,A0A2U8U2L4,A0A2U8U2L4,0.5,1
A0A2U8U2M8,A0A2U8U2M8,A0A2U8U2M8,0.5,1
A0A2Z4HPY0,A0A2Z4HPY0,A0A2Z4HPY0,0.5,1
A0A2Z4HPY4,A0A2Z4HPY4,A0A2Z4HPY4,0.5,1
A0A2Z4HPY5,A0A2Z4HPY5,A0A2Z4HPY5,0.5,1
A0A2Z4HPZ0,A0A2Z4HPZ0,A0A2Z4HPZ0,0.5,1
A0A2Z4HPZ5,A0A2Z4HPZ5,A0A2Z4HPZ5,0.5,1
A0A2Z4HPZ6,A0A2Z4HPZ6,A0A2Z4HPZ6,0.5,1
A0A2Z4HPZ7,A0A2Z4HPZ7,A0A2Z4HPZ7,0.5,1
A0A2Z4HPZ8,A0A2Z4HPZ8,A0A2Z4HPZ8,0.5,1
A0A2Z6AQX7,A0A2Z6AQX7,A0A2Z6AQX7,0.5,4
A0A2Z6AQX7,P9WEP0,A0A2Z6AQX7,0.5,4
A0A2Z6AQX7,P9WEV2,A0A2Z6AQX7,0.5,4
A0A2Z6AQX7,Q0CRW6,A0A2Z6AQX7,0.5,4
A0A2Z6FZ19,A0A2Z6FZ19,A0A2Z6FZ19,0.5,1
A0A2Z6FZ20,A0A2Z6FZ20,A0A2Z6FZ20,0.5,1
A0A2Z6FZ31,A0A2Z6FZ31,A0A2Z6FZ31,0.5,1
A0A2Z6FZX4,A0A2Z6FZX4,A0A2Z6FZX4,0.5,1
A0A343W969,A0A343W969,A0A343W969,0.5,1
A0A343W970,A0A343W970,A0A343W970,0.5,1
A0A345BJQ0,A0A345BJQ0,A0A345BJQ0,0.5,4
A0A345BJQ0,A0A3G1DJL2,A0A345BJQ0,0.5,4
A0A345BJQ0,Q7S4Z6,A0A345BJQ0,0.5,4
A0A345BJQ0,V6RPN0,A0A345BJQ0,0.5,4
A0A348B780,A0A348B779,A0A348B780,0.5,5
A0A348B780,A0A348B780,A0A348B780,0.5,5
A0A348B780,A0A5Q0QRJ3,A0A348B780,0.5,5
A0A348B780,A0A5Q0QU70,A0A348B780,0.5,5
A0A348B780,A8NE23,A0A348B780,0.5,5
A0A348B781,A0A348B781,A0A348B781,0.5,1
A0A348B782,A0A348B782,A0A348B782,0.5,1
A0A348B785,A0A348B785,A0A348B785,0.5,2
A0A348B785,W4JX79,A0A348B785,0.5,2
A0A348B788,A0A348B788,A0A348B788,0.5,1
A0A348B793,A0A348B793,A0A348B793,0.5,1
A0A348B794,A0A348B794,A0A348B794,0.5,1
A0A385AJM4,A0A151ZEA6,A0A385AJM4,0.5,6
A0A385AJM4,A0A385AJM2,A0A385AJM4,0.5,6
A0A385AJM4,A0A385AJM4,A0A385AJM4,0.5,6
A0A385AJM4,F0ZLU4,A0A385AJM4,0.5,6
A0A385AJM4,F4Q7D4,A0A385AJM4,0.5,6
A0A385AJM4,Q54P86,A0A385AJM4,0.5,6
A0A385AJM5,A0A385AJM5,A0A385AJM5,0.5,1
A0A385AJM6,A0A385AJM6,A0A385AJM6,0.5,1
A0A385AJN0,A0A385AJN0,A0A385AJN0,0.5,1
A0A386JV86,A0A386JV86,A0A386JV86,0.5,1
A0A386KZI3,A0A386KZI3,A0A386KZI3,0.5,1
A0A3G9GNJ4,A0A3G9GNJ4,A0A3G9GNJ4,0.5,1
A0A3G9GNK2,A0A3G9GNK2,A0A3G9GNK2,0.5,1
A0A3G9GQ29,A0A3G9GQ29,A0A3G9GQ29,0.5,1
A0A3G9GR23,A0A3G9GR23,A0A3G9GR23,0.5,1
A0A3G9GUR6,A0A3G9GUR6,A0A3G9GUR6,0.5,1
A0A3G9H185,A0A3G9H185,A0A3G9H185,0.5,1
A0A3L6G2C1,A0A1D6EFT8,A0A3L6G2C1,0.5,3
A0A3L6G2C1,A0A291LSD6,A0A3L6G2C1,0.5,3
A0A3L6G2C1,A0A3L6G2C1,A0A3L6G2C1,0.5,3
A0A3Q7GFB5,A0A3Q7GFB5,A0A3Q7GFB5,0.5,1
A0A3Q9FEJ4,A0A3Q9FEJ4,A0A3Q9FEJ4,0.5,1
A0A3Q9FFM1,A0A2Z6AQX6,A0A3Q9FFM1,0.5,2
A0A3Q9FFM1,A0A3Q9FFM1,A0A3Q9FFM1,0.5,2
A0A3S9NM20,A0A3S9NM20,A0A3S9NM20,0.5,1
A0A3T0ZHJ0,A0A3T0ZHJ0,A0A3T0ZHJ0,0.5,1
