candidate_id,evidence_quality_tier,domain_family,query_appearance_count,total_appearance_count,best_final_rank,mean_model_score,maximum_registry_hub_fraction
A0A8T9VVV6,B_experimental_or_transcript_named,bacterial_classI,3,6,10,0.5226574093103409,0.0208333333333333
A0ABT7Z3V6,C_homology_named,bacterial_classI,3,6,10,0.5644848446051279,0.0625
A0ABX9EEW8,D_named_predicted,bacterial_classI,3,6,10,0.8070068458716074,0.1
A0ABY9XC65,D_named_predicted,bacterial_classI,3,5,10,0.6256359279155731,0.0458333333333333
A0ABW0AEN8,C_homology_named,bacterial_classI,3,3,19,0.5349305868148804,0.0541666666666666
A0A3N0E2R9,D_named_predicted,bacterial_classI,3,3,20,0.5306927561759949,0.1708333333333333
A0A7W7L8K6,C_homology_named,bacterial_classI,3,3,20,0.48813410600026447,0.0791666666666666
A0A023VYM5,B_experimental_or_transcript_named,plant_like_classI_II,2,3,10,0.40429384509722394,0.0208333333333333
A0A061A895,D_named_predicted,bacterial_classI,2,3,10,0.44881783922513324,0.025
A0A067TQJ1,C_homology_named,bacterial_classI,2,3,10,0.6158526142438253,0.0208333333333333
A0A0C9YJ48,C_homology_named,bacterial_classI,2,3,10,0.47015514969825745,0.0541666666666666
A0A139X064,D_named_predicted,bacterial_classI,2,3,10,0.6118934750556946,0.0125
A0A173M1U8,B_experimental_or_transcript_named,plant_like_classI_II,2,4,10,0.42142707854509354,0.0666666666666666
A0A177DSW6,C_homology_named,bacterial_classI,2,3,10,0.624813457330068,0.0541666666666666
A0A1H7I983,C_homology_named,bacterial_classI,2,3,10,0.654853363831838,0.1041666666666666
A0A1I9LLB9,B_experimental_or_transcript_named,plant_like_classI_II,2,4,10,0.5997510552406311,0.0083333333333333
A0A2B7WV67,D_named_predicted,bacterial_classI,2,4,10,0.49442943185567856,0.0208333333333333
A0A2T0T2D9,D_named_predicted,bacterial_classI,2,4,10,0.6878683269023895,0.1041666666666666
A0A3S3SEC7,C_homology_named,bacterial_classI,2,3,10,0.5029181142648061,0.0208333333333333
A0A5P1EJ17,D_named_predicted,plant_like_classI_II,2,4,10,0.4433717206120491,0.0291666666666666
A0A5Q0GZZ2,D_named_predicted,bacterial_classI,2,3,10,0.4070789913336436,0.0416666666666666
A0A6G7GGP9,B_experimental_or_transcript_named,bacterial_classI,2,3,10,0.664856751759847,0.0333333333333333
A0A6G8QTM4,B_experimental_or_transcript_named,plant_like_classI_II,2,3,10,0.458001712958018,0.0166666666666666
A0A7D5M167,B_experimental_or_transcript_named,plant_like_classI_II,2,4,10,0.5065475553274155,0.0125
A0A8G1RDN1,C_homology_named,bacterial_classI,2,4,10,0.5943194329738617,0.0166666666666666
A0A8U0D9P7,B_experimental_or_transcript_named,plant_like_classI_II,2,3,10,0.41524332761764526,0.0416666666666666
A0A9P9AMM3,C_homology_named,bacterial_classI,2,3,10,0.5672073761622111,0.0916666666666666
A0A9X2VW88,C_homology_named,bacterial_classI,2,3,10,0.5051797330379486,0.0416666666666666
A0AA38YMF4,D_named_predicted,plant_like_classI_II,2,4,10,0.46866511553525925,0.0083333333333333
A0AAE0JBU2,D_named_predicted,bacterial_classI,2,3,10,0.597959578037262,0.0333333333333333
A0AAJ6N5X9,B_experimental_or_transcript_named,plant_like_classI_II,2,4,10,0.6951984465122223,0.0208333333333333
A0ABP4IH51,D_named_predicted,bacterial_classI,2,3,10,0.5418976644674937,0.1333333333333333
A0ABP7QXX8,C_homology_named,bacterial_classI,2,4,10,0.6623586267232895,0.0708333333333333
A0ABS9XP10,C_homology_named,bacterial_classI,2,4,10,0.539898119866848,0.0541666666666666
A0ABT4AC54,D_named_predicted,bacterial_classI,2,2,10,0.5571397840976715,0.0416666666666666
A0ABW2JQL7,C_homology_named,bacterial_classI,2,4,10,0.5301149487495422,0.0875
A0ABW7TGC6,D_named_predicted,bacterial_classI,2,2,10,0.5107181519269943,0.125
A0ABX9EE44,D_named_predicted,bacterial_classI,2,4,10,0.7567315250635147,0.1375
A0ACC0GCC7,C_homology_named,triterpene_cyclase,2,3,10,0.4386236270268758,0.0125
G5CV36,B_experimental_or_transcript_named,plant_like_classI_II,2,3,10,0.5358922282854716,0.0166666666666666
A0A0G3BIB7,B_experimental_or_transcript_named,plant_like_classI_II,2,2,19,0.33869469165802,0.0208333333333333
A0A1H4FFV0,C_homology_named,bacterial_classI,2,2,19,0.516952633857727,0.0416666666666666
A0A1H7LDQ4,D_named_predicted,bacterial_classI,2,2,19,0.5721997618675232,0.0208333333333333
A0A226D920,C_homology_named,bacterial_classI,2,2,19,0.3669031113386154,0.025
A0A4V2YK42,C_homology_named,bacterial_classI,2,2,19,0.49731282889842987,0.05
A0A0C9SKH3,C_homology_named,bacterial_classI,2,2,20,0.45588645339012146,0.025
A0A0E9NDM8,C_homology_named,bacterial_classI,2,2,20,0.3469323664903641,0.0291666666666666
A0A0M8MUG4,D_named_predicted,bacterial_classI,2,2,20,0.40074752271175385,0.0291666666666666
A0A1C8V9N1,B_experimental_or_transcript_named,plant_like_classI_II,2,2,20,0.41109485924243927,0.0333333333333333
A0A5B8JBT0,C_homology_named,bacterial_classI,2,2,20,0.4672516882419586,0.05
A0A7Y7E5R4,C_homology_named,bacterial_classI,2,2,20,0.5065187960863113,0.1541666666666666
A0AA39WA81,C_homology_named,bacterial_classI,2,2,20,0.48183929920196533,0.0375
A0AAV3XKL9,C_homology_named,bacterial_classI,2,2,20,0.5297127068042755,0.0416666666666666
A0AAW5AI30,C_homology_named,bacterial_classI,2,2,20,0.4972171038389206,0.0625
A0ABQ5XSL6,C_homology_named,bacterial_classI,2,2,20,0.5941753387451172,0.0916666666666666
A0ABX1C4R3,C_homology_named,bacterial_classI,2,2,20,0.5096115320920944,0.0708333333333333
A0ABY6J1F9,C_homology_named,bacterial_classI,2,2,20,0.5805637836456299,0.0375
W5TSI4,D_named_predicted,bacterial_classI,2,2,20,0.4739992171525955,0.1708333333333333
A0A059JCX8,C_homology_named,bacterial_classI,1,2,10,0.6572626531124115,0.0208333333333333
A0A066YKZ3,C_homology_named,bacterial_classI,1,2,10,0.7456854581832886,0.0083333333333333
A0A067SWF3,C_homology_named,bacterial_classI,1,1,10,0.4422793388366699,0.0208333333333333
A0A067T6V4,C_homology_named,bacterial_classI,1,1,10,0.6284844875335693,0.0333333333333333
A0A073JWZ7,C_homology_named,triterpene_cyclase,1,2,10,0.7614658772945404,0.0083333333333333
A0A081XQ53,C_homology_named,bacterial_classI,1,2,10,0.7424407303333282,0.0833333333333333
A0A085Z9Z5,C_homology_named,bacterial_classI,1,2,10,0.7528357803821564,0.0333333333333333
A0A0B4L8B1,B_experimental_or_transcript_named,plant_like_classI_II,1,2,10,0.6539650559425354,0.0291666666666666
A0A0C3B2M7,C_homology_named,bacterial_classI,1,2,10,0.626424252986908,0.0166666666666666
A0A0C5QH30,B_experimental_or_transcript_named,plant_like_classI_II,1,2,10,0.6464617550373077,0.025
A0A0D0CNG6,C_homology_named,bacterial_classI,1,2,10,0.5822679996490479,0.0083333333333333
A0A0D2NJJ1,C_homology_named,bacterial_classI,1,2,10,0.6113485395908356,0.0125
A0A0E0IQZ5,C_homology_named,plant_like_classI_II,1,2,10,0.40936875343322754,0.0125
A0A0G2F466,D_named_predicted,bacterial_classI,1,2,10,0.6449899971485138,0.0375
A0A0G2FJL6,D_named_predicted,bacterial_classI,1,2,10,0.6327289342880249,0.0916666666666666
A0A0G4LXZ4,C_homology_named,bacterial_classI,1,2,10,0.35897862911224365,0.0041666666666666
A0A0G4PTQ2,D_named_predicted,triterpene_cyclase,1,2,10,0.7080201208591461,0.0208333333333333
A0A101TDN8,D_named_predicted,bacterial_classI,1,1,10,0.42604145407676697,0.1125
A0A109IHW3,C_homology_named,bacterial_classI,1,2,10,0.668372392654419,0.0291666666666666
A0A164LP61,C_homology_named,bacterial_classI,1,1,10,0.47100630402565,0.0541666666666666
A0A178WKN4,B_experimental_or_transcript_named,triterpene_cyclase,1,2,10,0.6426994204521179,0.0083333333333333
A0A1D7QJP7,C_homology_named,bacterial_classI,1,2,10,0.6528014540672302,0.0791666666666666
A0A1E7JZ38,C_homology_named,bacterial_classI,1,2,10,0.7386885285377502,0.0041666666666666
A0A1E7LR79,C_homology_named,bacterial_classI,1,2,10,0.7093683183193207,0.025
A0A1G7I6D7,C_homology_named,triterpene_cyclase,1,2,10,0.7575892806053162,0.0166666666666666
A0A1G9WL14,D_named_predicted,bacterial_classI,1,2,10,0.4964652359485626,0.0208333333333333
A0A1H7S879,C_homology_named,bacterial_classI,1,2,10,0.5705831348896027,0.0375
A0A1L7NUB5,B_experimental_or_transcript_named,plant_like_classI_II,1,2,10,0.5370715260505676,0.0208333333333333
A0A1Q0AL87,B_experimental_or_transcript_named,bacterial_classI,1,2,10,0.6435877680778503,0.0083333333333333
A0A1T4SKT1,C_homology_named,bacterial_classI,1,2,10,0.5994016230106354,0.05
A0A1T4SMQ4,C_homology_named,bacterial_classI,1,2,10,0.6574709713459015,0.0666666666666666
A0A1X2LY95,D_named_predicted,triterpene_cyclase,1,2,10,0.7110325396060944,0.0208333333333333
A0A2I1CXS7,D_named_predicted,bacterial_classI,1,2,10,0.545164167881012,0.0333333333333333
A0A2I2GBW8,C_homology_named,bacterial_classI,1,1,10,0.5739219188690186,0.0416666666666666
A0A329QTJ9,C_homology_named,bacterial_classI,1,2,10,0.721073180437088,0.1083333333333333
A0A386JUC7,B_experimental_or_transcript_named,plant_like_classI_II,1,1,10,0.5308952927589417,0.0041666666666666
A0A3L6SBG8,D_named_predicted,plant_like_classI_II,1,2,10,0.49726125597953796,0.0166666666666666
A0A4Q2D257,D_named_predicted,bacterial_classI,1,2,10,0.7948861718177795,0.1083333333333333
A0A5A7Q680,D_named_predicted,plant_like_classI_II,1,2,10,0.4388027787208557,0.0416666666666666
A0A5B8J8C7,C_homology_named,bacterial_classI,1,2,10,0.5063147097826004,0.05
A0A5P8JZ78,D_named_predicted,bacterial_classI,1,2,10,0.5536406338214874,0.05
A0A5S4H0E0,C_homology_named,bacterial_classI,1,2,10,0.6102608442306519,0.0541666666666666
A0A6A5UN06,C_homology_named,bacterial_classI,1,2,10,0.5215875655412674,0.0166666666666666
A0A6H1Z3Z2,B_experimental_or_transcript_named,plant_like_classI_II,1,2,10,0.4244893789291382,0.0375
A0A7T1WUM2,B_experimental_or_transcript_named,bacterial_classI,1,2,10,0.6050488948822021,0.0375
A0A7W7C3K0,D_named_predicted,bacterial_classI,1,2,10,0.35244445502758026,0.025
A0A804RBA6,B_experimental_or_transcript_named,plant_like_classI_II,1,2,10,0.5123883187770844,0.0041666666666666
A0A8B8ZHZ8,D_named_predicted,plant_like_classI_II,1,2,10,0.4656473398208618,0.0208333333333333
A0A8K0VVA4,C_homology_named,bacterial_classI,1,1,10,0.42733168601989746,0.0083333333333333
A0A8S0U099,C_homology_named,plant_like_classI_II,1,2,10,0.4138832986354828,0.0041666666666666
A0A9Q5D9H3,C_homology_named,bacterial_classI,1,2,10,0.6008024215698242,0.0541666666666666
A0A9W8K3H1,C_homology_named,bacterial_classI,1,2,10,0.4653130769729614,0.0291666666666666
A0A9W9WTT3,C_homology_named,bacterial_classI,1,1,10,0.5698811411857605,0.0125
A0AA39R4T4,C_homology_named,bacterial_classI,1,1,10,0.551186740398407,0.025
A0AAD4CXJ0,C_homology_named,bacterial_classI,1,1,10,0.3972471058368683,0.0208333333333333
A0AAD6UIC7,C_homology_named,bacterial_classI,1,2,10,0.6044096350669861,0.0208333333333333
A0AAD9ATR4,C_homology_named,bacterial_classI,1,2,10,0.5469638109207153,0.0416666666666666
A0AAV1CG21,D_named_predicted,plant_like_classI_II,1,2,10,0.5309211015701294,0.025
A0AAV9MNX0,C_homology_named,plant_like_classI_II,1,2,10,0.4654066562652588,0.0041666666666666
A0ABN1PCV6,C_homology_named,bacterial_classI,1,2,10,0.6731681227684021,0.0583333333333333
A0ABN1XX46,D_named_predicted,triterpene_cyclase,1,2,10,0.7840558886528015,0.0375
A0ABR0SRL8,D_named_predicted,bacterial_classI,1,2,10,0.5585307478904724,0.0625
A0ABS0TW80,C_homology_named,bacterial_classI,1,2,10,0.6464406251907349,0.0875
A0ABS1LZZ8,C_homology_named,bacterial_classI,1,2,10,0.4759112149477005,0.0333333333333333
A0ABU2HAR3,C_homology_named,bacterial_classI,1,1,10,0.5108968019485474,0.0375
A0ABV1X9G4,C_homology_named,bacterial_classI,1,1,10,0.48518383502960205,0.0875
A0ABV3F1C3,C_homology_named,bacterial_classI,1,2,10,0.8324178159236908,0.025
A0ABW0YVC8,D_named_predicted,bacterial_classI,1,2,10,0.5676274001598358,0.0875
A0ABY9DWS9,D_named_predicted,plant_like_classI_II,1,2,10,0.48493096232414246,0.0125
D5SLW8,D_named_predicted,bacterial_classI,1,1,10,0.5252318978309631,0.0458333333333333
K0ES71,C_homology_named,bacterial_classI,1,2,10,0.7853052020072937,0.0125
K9WYE1,C_homology_named,bacterial_classI,1,2,10,0.5667058527469635,0.1208333333333333
Q0IT98,B_experimental_or_transcript_named,triterpene_cyclase,1,2,10,0.48518799245357513,0.0166666666666666
A0A066XSP4,D_named_predicted,bacterial_classI,1,1,19,0.6597113013267517,0.0416666666666666
A0A1E5UVA3,C_homology_named,plant_like_classI_II,1,1,19,0.4056270122528076,0.0166666666666666
A0A1K1NB32,C_homology_named,bacterial_classI,1,1,19,0.5428697466850281,0.025
A0A1M7A4D6,C_homology_named,bacterial_classI,1,1,19,0.44754886627197266,0.0416666666666666
A0A1T3NT10,C_homology_named,bacterial_classI,1,1,19,0.44417285919189453,0.1166666666666666
A0A1T4TV44,D_named_predicted,bacterial_classI,1,1,19,0.44348692893981934,0.0541666666666666
A0A284RP71,C_homology_named,bacterial_classI,1,1,19,0.35968294739723206,0.0166666666666666
A0A2J6PXA6,D_named_predicted,bacterial_classI,1,1,19,0.5247718691825867,0.0125
A0A3A4JW89,C_homology_named,bacterial_classI,1,1,19,0.36187586188316345,0.0375
A0A4R5BGK6,C_homology_named,bacterial_classI,1,1,19,0.6598319411277771,0.0666666666666666
A0A511T8B9,D_named_predicted,bacterial_classI,1,1,19,0.48120248317718506,0.0791666666666666
A0A6B7FUL8,B_experimental_or_transcript_named,plant_like_classI_II,1,1,19,0.5897181630134583,0.0125
A0A7D4A4H9,C_homology_named,bacterial_classI,1,1,19,0.33004310727119446,0.0625
A0A840RR74,D_named_predicted,bacterial_classI,1,1,19,0.45901504158973694,0.0083333333333333
A0A8H6VZW2,C_homology_named,bacterial_classI,1,1,19,0.5578227639198303,0.025
A0A8T0IL70,C_homology_named,bacterial_classI,1,1,19,0.43570148944854736,0.0125
A0A9W9M9S2,C_homology_named,bacterial_classI,1,1,19,0.6293425559997559,0.0375
A0AAN6M8R6,C_homology_named,bacterial_classI,1,1,19,0.41853848099708557,0.0791666666666666
A0ABV6TCZ5,C_homology_named,bacterial_classI,1,1,19,0.45364609360694885,0.0916666666666666
A0ABZ1YNM1,C_homology_named,bacterial_classI,1,1,19,0.5239659547805786,0.1375
A0ABZ2KY85,C_homology_named,bacterial_classI,1,1,19,0.46593955159187317,0.025
A0ACB7IQ56,C_homology_named,bacterial_classI,1,1,19,0.6007094979286194,0.05
A0ACB8NZG0,D_named_predicted,plant_like_classI_II,1,1,19,0.40127241611480713,0.0166666666666666
A0ACC3AFB3,C_homology_named,bacterial_classI,1,1,19,0.4829656779766083,0.025
A6FWQ7,C_homology_named,bacterial_classI,1,1,19,0.5308047533035278,0.0208333333333333
C4IZV0,B_experimental_or_transcript_named,plant_like_classI_II,1,1,19,0.5897607803344727,0.0083333333333333
S8AS28,D_named_predicted,bacterial_classI,1,1,19,0.37817469239234924,0.0333333333333333
A0A022XLF0,C_homology_named,bacterial_classI,1,1,20,0.5221167206764221,0.0083333333333333
A0A023D1B6,C_homology_named,triterpene_cyclase,1,1,20,0.6733505129814148,0.0125
A0A067M8B0,C_homology_named,bacterial_classI,1,1,20,0.4791297912597656,0.0125
A0A067NCK3,C_homology_named,bacterial_classI,1,1,20,0.43052589893341064,0.0916666666666666
A0A067Q5C0,C_homology_named,bacterial_classI,1,1,20,0.46170303225517273,0.0083333333333333
A0A075W2D6,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.4499383270740509,0.0041666666666666
A0A077JNJ3,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.33228346705436707,0.0166666666666666
A0A086A3J9,C_homology_named,bacterial_classI,1,1,20,0.6137128472328186,0.0708333333333333
A0A088CN86,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.36287760734558105,0.0208333333333333
A0A0B4VFP0,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.3329545557498932,0.0208333333333333
A0A0C3HMF2,D_named_predicted,bacterial_classI,1,1,20,0.3614276945590973,0.0333333333333333
A0A0C9UUK6,D_named_predicted,bacterial_classI,1,1,20,0.5696457028388977,0.025
A0A0N7KSJ7,B_experimental_or_transcript_named,triterpene_cyclase,1,1,20,0.4642913341522217,0.0125
A0A103E771,C_homology_named,bacterial_classI,1,1,20,0.4491218626499176,0.075
A0A103E772,D_named_predicted,bacterial_classI,1,1,20,0.4667496383190155,0.0875
A0A165QEQ2,C_homology_named,bacterial_classI,1,1,20,0.5532884001731873,0.0416666666666666
A0A171DER6,C_homology_named,bacterial_classI,1,1,20,0.5186586380004883,0.05
A0A176VY32,C_homology_named,bacterial_classI,1,1,20,0.4541757106781006,0.0041666666666666
A0A1D5AJD7,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.41781163215637207,0.0291666666666666
A0A1E3FI44,C_homology_named,bacterial_classI,1,1,20,0.4629009962081909,0.125
A0A1H3NPY9,D_named_predicted,bacterial_classI,1,1,20,0.5452085733413696,0.0208333333333333
A0A1H3P7N4,C_homology_named,bacterial_classI,1,1,20,0.38000455498695374,0.0416666666666666
A0A1I2L895,D_named_predicted,bacterial_classI,1,1,20,0.4686667025089264,0.0791666666666666
A0A1J9S3C9,C_homology_named,bacterial_classI,1,1,20,0.3674093782901764,0.0166666666666666
A0A1L9RXN3,D_named_predicted,bacterial_classI,1,1,20,0.5266619324684143,0.0125
A0A1N6EKI7,C_homology_named,bacterial_classI,1,1,20,0.6316497325897217,0.0416666666666666
A0A1P8ARV6,B_experimental_or_transcript_named,triterpene_cyclase,1,1,20,0.5364376902580261,0.0125
A0A1Q5UFC3,C_homology_named,bacterial_classI,1,1,20,0.5224307179450989,0.0416666666666666
A0A1T4SR57,C_homology_named,bacterial_classI,1,1,20,0.6046491861343384,0.0416666666666666
A0A1V0TYI6,D_named_predicted,bacterial_classI,1,1,20,0.41106167435646057,0.1
A0A1V0U115,C_homology_named,bacterial_classI,1,1,20,0.4973551332950592,0.05
A0A1V2IJ20,D_named_predicted,bacterial_classI,1,1,20,0.5276904106140137,0.0583333333333333
A0A229RH59,C_homology_named,bacterial_classI,1,1,20,0.4828011095523834,0.0375
A0A229S5G9,C_homology_named,bacterial_classI,1,1,20,0.3359520435333252,0.0083333333333333
A0A238XLA9,D_named_predicted,bacterial_classI,1,1,20,0.36456823348999023,0.0333333333333333
A0A2A2D5Q5,C_homology_named,bacterial_classI,1,1,20,0.44709911942481995,0.0666666666666666
A0A2I1CEB4,D_named_predicted,bacterial_classI,1,1,20,0.4080416262149811,0.0166666666666666
A0A2P4UQM5,C_homology_named,bacterial_classI,1,1,20,0.5842662453651428,0.0125
A0A2V0PPJ8,D_named_predicted,bacterial_classI,1,1,20,0.4664231836795807,0.0166666666666666
A0A317WRY1,D_named_predicted,bacterial_classI,1,1,20,0.48066675662994385,0.025
A0A327W497,C_homology_named,bacterial_classI,1,1,20,0.46316230297088623,0.0583333333333333
A0A3D8S667,D_named_predicted,bacterial_classI,1,1,20,0.4215393364429474,0.0708333333333333
A0A3E0H4F4,C_homology_named,bacterial_classI,1,1,20,0.6389092803001404,0.0333333333333333
A0A3G6V9U2,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.6139150261878967,0.0083333333333333
A0A3Q8J789,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.485090047121048,0.0375
A0A401VXY7,C_homology_named,bacterial_classI,1,1,20,0.4973878860473633,0.0208333333333333
A0A453AA99,D_named_predicted,bacterial_classI,1,1,20,0.3827950954437256,0.0208333333333333
A0A4R6SD66,D_named_predicted,triterpene_cyclase,1,1,20,0.4629038870334625,0.0166666666666666
A0A4V3HR28,D_named_predicted,triterpene_cyclase,1,1,20,0.3118360638618469,0.0291666666666666
A0A511T3E4,C_homology_named,bacterial_classI,1,1,20,0.4768148362636566,0.0333333333333333
A0A5C1NH69,C_homology_named,bacterial_classI,1,1,20,0.6014311909675598,0.0458333333333333
A0A5C7GRB9,D_named_predicted,plant_like_classI_II,1,1,20,0.3725407123565674,0.0208333333333333
A0A5J6GV97,C_homology_named,bacterial_classI,1,1,20,0.6477836966514587,0.1291666666666666
A0A5N0DW81,C_homology_named,bacterial_classI,1,1,20,0.6098952889442444,0.0041666666666666
A0A646KT86,C_homology_named,bacterial_classI,1,1,20,0.5969071388244629,0.0375
A0A6A5Z6Q6,C_homology_named,bacterial_classI,1,1,20,0.5387880206108093,0.0166666666666666
A0A6P8BNC3,C_homology_named,bacterial_classI,1,1,20,0.5323933959007263,0.0125
A0A7G5KLV4,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.42987215518951416,0.0291666666666666
A0A7R9MFJ6,D_named_predicted,bacterial_classI,1,1,20,0.5108758807182312,0.0416666666666666
A0A7W3NT70,C_homology_named,bacterial_classI,1,1,20,0.500161349773407,0.1083333333333333
A0A7W8B6X5,C_homology_named,bacterial_classI,1,1,20,0.5938803553581238,0.0583333333333333
A0A8E8AUU4,B_experimental_or_transcript_named,plant_like_classI_II,1,1,20,0.4206255376338959,0.0125
A0A8G1VGE4,D_named_predicted,bacterial_classI,1,1,20,0.37399205565452576,0.025
A0A8H6XHJ9,C_homology_named,bacterial_classI,1,1,20,0.5085391998291016,0.0583333333333333
A0A8J2YFJ9,C_homology_named,triterpene_cyclase,1,1,20,0.7310134768486023,0.025
A0A8J5EMF0,D_named_predicted,plant_like_classI_II,1,1,20,0.5501219034194946,0.025
A0A8J5H7Y0,D_named_predicted,plant_like_classI_II,1,1,20,0.37674668431282043,0.0208333333333333
A0A8S0R9G3,D_named_predicted,plant_like_classI_II,1,1,20,0.38044503331184387,0.0083333333333333
A0A8X8YNU7,C_homology_named,plant_like_classI_II,1,1,20,0.34276655316352844,0.025
A0A918E1K3,C_homology_named,bacterial_classI,1,1,20,0.4982810914516449,0.0833333333333333
A0A919A0J7,C_homology_named,bacterial_classI,1,1,20,0.43578505516052246,0.075
A0A9D4U9G0,C_homology_named,triterpene_cyclase,1,1,20,0.42663124203681946,0.0166666666666666
A0A9N8DTE1,C_homology_named,bacterial_classI,1,1,20,0.5090279579162598,0.025
A0A9P5XV13,C_homology_named,bacterial_classI,1,1,20,0.44800278544425964,0.0083333333333333
A0A9P8UW38,D_named_predicted,bacterial_classI,1,1,20,0.43890926241874695,0.0083333333333333
A0A9P9D0Q3,D_named_predicted,bacterial_classI,1,1,20,0.5183783173561096,0.025
A0A9W9SNV2,C_homology_named,bacterial_classI,1,1,20,0.49929407238960266,0.0333333333333333
A0AA39QRU6,D_named_predicted,bacterial_classI,1,1,20,0.5798051953315735,0.0541666666666666
A0AA39ZVW1,C_homology_named,triterpene_cyclase,1,1,20,0.6602151989936829,0.0125
A0AAC8TD70,D_named_predicted,bacterial_classI,1,1,20,0.3181259334087372,0.0625
A0AAD7XG49,C_homology_named,bacterial_classI,1,1,20,0.5445735454559326,0.0333333333333333
A0AAE0HZE4,C_homology_named,bacterial_classI,1,1,20,0.5632500648498535,0.0458333333333333
A0AAE1JXU0,D_named_predicted,plant_like_classI_II,1,1,20,0.4479238986968994,0.025
A0AAP0EBG9,C_homology_named,triterpene_cyclase,1,1,20,0.4107992351055145,0.0125
A0AAV0J563,D_named_predicted,plant_like_classI_II,1,1,20,0.4307710826396942,0.0083333333333333
A0AAV5BG87,D_named_predicted,bacterial_classI,1,1,20,0.434335321187973,0.0041666666666666
A0AAV8DGG9,D_named_predicted,plant_like_classI_II,1,1,20,0.4076080024242401,0.0291666666666666
A0AAV9HXA4,D_named_predicted,bacterial_classI,1,1,20,0.635206401348114,0.0708333333333333
A0AB40BSJ5,D_named_predicted,plant_like_classI_II,1,1,20,0.5298985838890076,0.0166666666666666
A0ABP6Z533,C_homology_named,bacterial_classI,1,1,20,0.582423746585846,0.1375
A0ABR3C845,D_named_predicted,bacterial_classI,1,1,20,0.5451488494873047,0.0375
A0ABR6BVL1,C_homology_named,bacterial_classI,1,1,20,0.6955481171607971,0.0166666666666666
A0ABS5A6C4,D_named_predicted,bacterial_classI,1,1,20,0.5140867233276367,0.1666666666666666
A0ABS5AU40,C_homology_named,bacterial_classI,1,1,20,0.66917484998703,0.0875
A0ABT0GAQ2,C_homology_named,bacterial_classI,1,1,20,0.3438154458999634,0.0833333333333333
A0ABT5C0B8,C_homology_named,bacterial_classI,1,1,20,0.5401838421821594,0.0208333333333333
A0ABU5FFV3,C_homology_named,bacterial_classI,1,1,20,0.6187155842781067,0.175
A0ABW2XK15,C_homology_named,bacterial_classI,1,1,20,0.4414234459400177,0.0416666666666666
A0ABW5GWI6,C_homology_named,bacterial_classI,1,1,20,0.5768452286720276,0.0958333333333333
