Entry,sequence,source
A0A1U8I4V5,,marts_registered
A0A1U8QLG8,,marts_registered
A0A1V0D8Y5,,marts_registered
A0A1V0QSA8,,marts_registered
A0A1V0QSF2,,marts_registered
A0A1Z2LDZ7,,marts_registered
A0A250IBE0,,marts_registered
A0A286R621,,marts_registered
A0A290U6M0,,marts_registered
A0A290U6M3,,marts_registered
A0A290U6M6,,marts_registered
A0A290U6N1,,marts_registered
A0A290U6P6,,marts_registered
A0A2A2D8W5,,marts_registered
A0A2A3HMH3,,marts_registered
A0A2E1AC30,,marts_registered
A0A2H3DKU3,,marts_registered
A0A2H3DQV4,,marts_registered
A0A2H3DUF9,,marts_registered
A0A2H3E1S5,,marts_registered
A0A2I6PJ05,,marts_registered
A0A2L0VXR5,,marts_registered
A0A2P2MRY0,,marts_registered
A0A2T0LNX7,,marts_registered
A0A2U8JPY1,,marts_registered
A0A2Z6E967,,marts_registered
A0A2Z6E9F0,,marts_registered
A0A345ZQ19,,marts_registered
A0A345ZQ20,,marts_registered
A0A345ZQ21,,marts_registered
A0A345ZQ22,,marts_registered
A0A345ZQ23,,marts_registered
A0A345ZQ24,,marts_registered
A0A345ZQ25,,marts_registered
A0A345ZQ26,,marts_registered
A0A345ZQ29,,marts_registered
A0A345ZQ30,,marts_registered
A0A345ZQ31,,marts_registered
A0A385AJM7,,marts_registered
A0A385J6X8,,marts_registered
A0A385J6Y5,,marts_registered
A0A385J6Y6,,marts_registered
A0A385J6Y9,,marts_registered
A0A386ZKV4,,marts_registered
A0A396GKK7,,marts_registered
A0A3B8DU56,,marts_registered
A0A3G1HQN7,,marts_registered
A0A3G9EAS3,,marts_registered
A0A3G9ED98,,marts_registered
A0A3G9EJT8,,marts_registered
A0A3G9EJV0,,marts_registered
A0A3G9EWY9,,marts_registered
A0A3G9EY38,,marts_registered
A0A3G9F1F9,,marts_registered
A0A3M8F3X6,,marts_registered
A0A3N1A8E7,,marts_registered
A0A3N4M544,,marts_registered
A0A3S9GV71,,marts_registered
A0A3S9GVB5,,marts_registered
A0A401VY17,,marts_registered
A0A411JJ93,,marts_registered
A0A482AJV9,,marts_registered
A0A482IC14,,marts_registered
A0A495JMV3,,marts_registered
A0A4R4VDA4,,marts_registered
A0A552RHR4,,marts_registered
A0A561SAF2,,marts_registered
A0A562SP41,,marts_registered
A0A562T706,,marts_registered
A0A5C0T860,,marts_registered
A0A5K6WHY7,,marts_registered
A0A5N5W9J0,,marts_registered
A0A5P0YYU2,,marts_registered
A0A5P1ZG13,,marts_registered
A0A650A7H3,,marts_registered
A0A650A7I8,,marts_registered
A0A650A7K4,,marts_registered
A0A650A7L8,,marts_registered
A0A650A7M1,,marts_registered
A0A650A7N6,,marts_registered
A0A650A7N9,,marts_registered
A0A650A872,,marts_registered
A0A650A8B4,,marts_registered
A0A678QA10,,marts_registered
A0A6A6W5M9,,marts_registered
A0A6B8MS60,,marts_registered
A0A6B8N100,,marts_registered
A0A6B8N4Y9,,marts_registered
A0A6C0QES1,,marts_registered
A0A6C0THV5,,marts_registered
A0A6C0TJK8,,marts_registered
A0A6C0TL59,,marts_registered
A0A6C0TLK1,,marts_registered
A0A6I2FRA3,,marts_registered
A0A6M6CCF6,,marts_registered
A0A6M6CDA0,,marts_registered
A0A6P8ANR6,,marts_registered
A0A6S6QJ62,,marts_registered
A0A7D5HVQ3,,marts_registered
A0A7D5HYM9,,marts_registered
A0A7D5HYZ9,,marts_registered
A0A7D5HZV8,,marts_registered
A0A7L7S5T2,,marts_registered
A0A7L7S8U7,,marts_registered
A0A7L7SCQ9,,marts_registered
A0A7L7SES4,,marts_registered
A0A7L7SG75,,marts_registered
A0A7M3M6K6,,marts_registered
A0A7S5GI43,,marts_registered
A0A7S5GI44,,marts_registered
A0A7S5L324,,marts_registered
A0A7S5L3H2,,marts_registered
A0A7S5L3J3,,marts_registered
A0A7S6HRZ4,,marts_registered
A0A7W5F0P0,,marts_registered
A0A822XDK0,,marts_registered
A0A822ZER1,,marts_registered
A0A8A5RE99,,marts_registered
A0A8A5XA86,,marts_registered
A0A8A5XC90,,marts_registered
A0A8F4PMV8,,marts_registered
A0A8F4PMX6,,marts_registered
A0A8F4PMY5,,marts_registered
A0A8F4PNJ7,,marts_registered
A0A8F4PNT7,,marts_registered
A0A8F4PP18,,marts_registered
A0A8F4PPH7,,marts_registered
A0A8F4PPI6,,marts_registered
A0A8F4PPJ2,,marts_registered
A0A8F4PQH5,,marts_registered
A0A8F4PQI4,,marts_registered
A0A8F4PQP7,,marts_registered
A0A8F4SK79,,marts_registered
A0A8F4SK83,,marts_registered
A0A8F4SK87,,marts_registered
A0A8F4SKT7,,marts_registered
A0A8F4SKU0,,marts_registered
A0A8F4SNK4,,marts_registered
A0A8F4SPY9,,marts_registered
A0A8F4SPZ5,,marts_registered
A0A8H6ZNT4,,marts_registered
A0A8H7DPD2,,marts_registered
A0A8T0VMU7,,marts_registered
A0A956YA26,,marts_registered
A0A979G5X7,,marts_registered
A0A979G646,,marts_registered
A0AA82WP13,,marts_registered
A0RZI2,,marts_registered
A0RZI3,,marts_registered
A1E4D1,,marts_registered
A1JH12,,marts_registered
A4UUM6,,marts_registered
A4VB63,,marts_registered
A5AQH7,,marts_registered
A5BEB8,,marts_registered
A5LHW8,,marts_registered
A5YZT7,,marts_registered
A7BG60,,marts_registered
A7BJ35,,marts_registered
A7BJ36,,marts_registered
A8NCK5,,marts_registered
A8R7G3,,marts_registered
A9JQL9,,marts_registered
AGO55049.1,,marts_registered
B0KZ40,,marts_registered
B0Y565,,marts_registered
B1PLH3,,marts_registered
B1XJV9,,marts_registered
B2C4D3,,marts_registered
B2C4D4,,marts_registered
B2C4D5,,marts_registered
B2C4D6,,marts_registered
B2C4D7,,marts_registered
B2C4D8,,marts_registered
B2DBE8,,marts_registered
B2DBE9,,marts_registered
B4XAK4,,marts_registered
B4XAK5,,marts_registered
B4XAK6,,marts_registered
B4YA15,,marts_registered
B4YYR2,,marts_registered
B5GTQ6,,marts_registered
B5H135,,marts_registered
B6UV92,,marts_registered
B9GSM9,,marts_registered
B9RHW5,,marts_registered
BDI63083.1,,marts_registered
BDI63084.1,,marts_registered
BDI63085.1,,marts_registered
BDI63087.1,,marts_registered
BDI63091.1,,marts_registered
BDI63095.1,,marts_registered
BDI63096.1,,marts_registered
BDI63099.1,,marts_registered
BDI63103.1,,marts_registered
BDI63106.1,,marts_registered
BDI63107.1,,marts_registered
BDI63108.1,,marts_registered
BDI63109.1,,marts_registered
BDI63110.1,,marts_registered
BDI63111.1,,marts_registered
BDI63113.1,,marts_registered
BDI63114.1,,marts_registered
BDI63116.1,,marts_registered
BDI63117.1,,marts_registered
BDI63118.1,,marts_registered
BDI63121.1,,marts_registered
BDI63123.1,,marts_registered
BDI63124.1,,marts_registered
BDO24661.1,,marts_registered
C0SSW7,,marts_registered
C5H3I7,,marts_registered
C5I6F7,,marts_registered
C5YHZ9,,marts_registered
C5YN30,,marts_registered
C7QAD7,,marts_registered
C7SCX0,,marts_registered
C9Z4F7,,marts_registered
D0VFU8,,marts_registered
D1MJ52,,marts_registered
D2X8G0,,marts_registered
D2X8G1,,marts_registered
D2X8G2,,marts_registered
D2X8Y8,,marts_registered
D2XEB3,,marts_registered
D4IIJ0,,marts_registered
D4IIJ1,,marts_registered
D5KXJ0,,marts_registered
D5SLU6,,marts_registered
D7T0P8,,marts_registered
D9J0D3,,marts_registered
D9J0D4,,marts_registered
D9J0D5,,marts_registered
E3W326,,marts_registered
E3WDE2,,marts_registered
E5GAF3,,marts_registered
E5GAF4,,marts_registered
E5GAF5,,marts_registered
E5GAF6,,marts_registered
E5GAF7,,marts_registered
E5GAF8,,marts_registered
E5GAG0,,marts_registered
E5GAG1,,marts_registered
E5GAG2,,marts_registered
E5GAG4,,marts_registered
E5L4Y4,,marts_registered
E5RM29,,marts_registered
E9N3U9,,marts_registered
F6I4Y2,,marts_registered
F8TWC9,,marts_registered
F9WWF1,,marts_registered
F9WZD2,,marts_registered
F9XLC1,,marts_registered
G0Y286,,marts_registered
G0Y287,,marts_registered
G0Y288,,marts_registered
G1JUH4,,marts_registered
G1JUH5,,marts_registered
G5CV35,,marts_registered
G5CV38,,marts_registered
G5CV40,,marts_registered
G5CV42,,marts_registered
G5CV43,,marts_registered
G5CV44,,marts_registered
G5CV48,,marts_registered
G5CV50,,marts_registered
G5CV51,,marts_registered
G5CV56,,marts_registered
G7K980,,marts_registered
G7LHE5,,marts_registered
G9M5S4,,marts_registered
G9M5S5,,marts_registered
G9M5S6,,marts_registered
G9M5S9,,marts_registered
H2VFR7,,marts_registered
H6VLG0,,marts_registered
H9C6R1,,marts_registered
I1TE91,,marts_registered
I2CM56,,marts_registered
I2CM59,,marts_registered
I2CM69,,marts_registered
I3WEW0,,marts_registered
I6XZ73,,marts_registered
J2T8D5,,marts_registered
J3MQP7,,marts_registered
K7PRF2,,marts_registered
K7TKS3,,marts_registered
K7TR87,,marts_registered
KIA64332.1,,marts_registered
L0HLH2,,marts_registered
L0HP52,,marts_registered
L0I517,,marts_registered
L0I7F9,,marts_registered
L7XCQ7,,marts_registered
M4GGS0,,marts_registered
M4GGS1,,marts_registered
M4HZ33,,marts_registered
MBW4630784.1,,marts_registered
MG921605.1,,marts_registered
MZ367365.1,,marts_registered
O04046,,marts_registered
O04806,,marts_registered
O05572,,marts_registered
O06428,,marts_registered
O06728,,marts_registered
O07333,,marts_registered
O14230,,marts_registered
O22043,,marts_registered
O23909,,marts_registered
O24241,,marts_registered
O24242,,marts_registered
O50410,,marts_registered
O53507,,marts_registered
O59703,,marts_registered
O64905,,marts_registered
O66126,,marts_registered
O66952,,marts_registered
O81923,,marts_registered
O82141,,marts_registered
O95749,,marts_registered
P05369,,marts_registered
P08196,,marts_registered
P08524,,marts_registered
P08836,,marts_registered
P0A5H9,,marts_registered
P0C9E0,,marts_registered
P0C9E1,,marts_registered
P0C9E2,,marts_registered
P14324,,marts_registered
P17060,,marts_registered
P21683,,marts_registered
P21684,,marts_registered
P22873,,marts_registered
P22939,,marts_registered
P24322,,marts_registered
P34802,,marts_registered
P37269,,marts_registered
P37271,,marts_registered
P37272,,marts_registered
P37273,,marts_registered
P37294,,marts_registered
P37295,,marts_registered
P39464,,marts_registered
P45204,,marts_registered
P49085,,marts_registered
P49349,,marts_registered
P49351,,marts_registered
P49352,,marts_registered
P49353,,marts_registered
P53797,,marts_registered
P54383,,marts_registered
P54975,,marts_registered
P54976,,marts_registered
P55350,,marts_registered
P55539,,marts_registered
P56966,,marts_registered
P57537,,marts_registered
P80042,,marts_registered
P95999,,marts_registered
P9WJ61,,marts_registered
P9WKH1,,marts_registered
Q08291,,marts_registered
Q09152,,marts_registered
Q12051,,marts_registered
Q1ERD3,,marts_registered
Q1PDD2,,marts_registered
Q1XBU4,,marts_registered
Q2FV59,,marts_registered
Q2QLV9,,marts_registered
Q2WGL6,,marts_registered
Q2WGL7,,marts_registered
Q2WGL8,,marts_registered
Q32W37,,marts_registered
Q3IPL1,,marts_registered
Q401R5,,marts_registered
Q401R6,,marts_registered
Q40322,,marts_registered
Q42698,,marts_registered
Q43133,,marts_registered
Q43315,,marts_registered
Q45220,,marts_registered
Q4JHN6,,marts_registered
Q4QSN3,,marts_registered
Q4QSN6,,marts_registered
Q4VP11,,marts_registered
Q4VP12,,marts_registered
Q4WAG4,,marts_registered
Q4WEB8,,marts_registered
Q52QW5,,marts_registered
Q54BK1,,marts_registered
Q54XP1,,marts_registered
Q55EU7,,marts_registered
Q58GE8,,marts_registered
Q5CD82,,marts_registered
Q5D7Q8,,marts_registered
Q5Z5B7,,marts_registered
Q64K29,,marts_registered
Q65164,,marts_registered
Q66PX8,,marts_registered
Q673F9,,marts_registered
Q675L1,,marts_registered
Q675L3,,marts_registered
Q675L6,,marts_registered
Q67DX4,,marts_registered
Q6EI12,,marts_registered
Q6F596,,marts_registered
Q6F5E6,,marts_registered
Q6F5G9,,marts_registered
Q6F5H0,,marts_registered
Q6F5H1,,marts_registered
Q6F5H2,,marts_registered
Q6F5H3,,marts_registered
Q6G6B2,,marts_registered
Q6IW97,,marts_registered
Q6IWA3,,marts_registered
Q6N3F2,,marts_registered
Q6QZW7,,marts_registered
Q6QZW8,,marts_registered
Q6SA60,,marts_registered
Q6TBY0,,marts_registered
Q6TH91,,marts_registered
Q6TH92,,marts_registered
Q6YN71,,marts_registered
Q6ZJL3,,marts_registered
Q70EZ6,,marts_registered
Q70EZ7,,marts_registered
Q71MJ3,,marts_registered
Q758K0,,marts_registered
Q75WN1,,marts_registered
Q7A3E1,,marts_registered
Q7X9A3,,marts_registered
Q7XYS8,,marts_registered
Q7XYS9,,marts_registered
Q7XYT0,,marts_registered
Q7Z859,,marts_registered
Q84PE1,,marts_registered
Q84PE3,,marts_registered
Q8GSL7,,marts_registered
Q8K9A0,,marts_registered
Q8L5J7,,marts_registered
Q8L5K1,,marts_registered
Q8L5K2,,marts_registered
Q8PW34,,marts_registered
Q8PYS1,,marts_registered
Q8S3A5,,marts_registered
Q8S3A6,,marts_registered
Q8S948,,marts_registered
Q8V9T7,,marts_registered
Q8VWY3,,marts_registered
Q8VWY4,,marts_registered
Q8W1D0,,marts_registered
Q8W3Z0,,marts_registered
Q8WMY2,,marts_registered
Q8YN85,,marts_registered
Q920E5,,marts_registered
Q92235,,marts_registered
Q92236,,marts_registered
Q92250,,marts_registered
Q93WU1,,marts_registered
Q940E7,,marts_registered
Q941S0,,marts_registered
Q94ID7,,marts_registered
Q99R75,,marts_registered
Q9ACU1,,marts_registered
Q9AR67,,marts_registered
Q9AXM7,,marts_registered
Q9FQ26,,marts_registered
Q9FQM1,,marts_registered
Q9FUW5,,marts_registered
Q9FV72,,marts_registered
Q9FVL2,,marts_registered
Q9FXV8,,marts_registered
Q9LHR4,,marts_registered
Q9LIA0,,marts_registered
Q9LJY2,,marts_registered
Q9LKN1,,marts_registered
Q9LUD9,,marts_registered
Q9LUE1,,marts_registered
Q9NH03,,marts_registered
Q9P885,,marts_registered
Q9SDW9,,marts_registered
Q9SLG2,,marts_registered
Q9SLW0,,marts_registered
Q9SLW1,,marts_registered
Q9SLW3,,marts_registered
Q9SSU5,,marts_registered
Q9SSU8,,marts_registered
Q9SSZ2,,marts_registered
Q9SW76,,marts_registered
Q9SW77,,marts_registered
Q9UWR6,,marts_registered
Q9WTN0,,marts_registered
Q9ZTN8,,marts_registered
Q9ZU77,,marts_registered
QNC49769.1,,marts_registered
QND75951.1,,marts_registered
QND75952.1,,marts_registered
QND75953.1,,marts_registered
R4HEK6,,marts_registered
R4I3I0,,marts_registered
R4JGM2,,marts_registered
R4JHV9,,marts_registered
R4JJJ6,,marts_registered
R4JND2,,marts_registered
R4JQS8,,marts_registered
R9UM72,,marts_registered
R9UPX6,,marts_registered
R9UPX9,,marts_registered
R9W377,,marts_registered
R9WSX5,,marts_registered
S0E627,,marts_registered
S4SC87,,marts_registered
SRA.SRR18681978,,marts_registered
T1WGD9,,marts_registered
T2HPZ3,,marts_registered
U5N0S4,,marts_registered
U5N1F1,,marts_registered
U5Y4T6,,marts_registered
UPI0005ADA921,,marts_registered
UPI0005AE096B,,marts_registered
UPI41561.1,,marts_registered
UPI41567.1,,marts_registered
V6RG22,,marts_registered
W8NXF3,,marts_registered
W8QEG7,,marts_registered
W8QMF8,,marts_registered
WDE20676.1,,marts_registered
WDE20677.1,,marts_registered
WDE20678.1,,marts_registered
WDE20679.1,,marts_registered
WFJ08646.1,,marts_registered
WKM69308.1,,marts_registered
WKM69310.1,,marts_registered
WNV55396.1,,marts_registered
WNV55397.1,,marts_registered
WP_020942948,,marts_registered
WP_030431358.1,,marts_registered
WP_051165600.1,,marts_registered
WP_051714436,,marts_registered
WP_089795910.1,,marts_registered
WP_091046421.1,,marts_registered
WP_092528762.1,,marts_registered
WP_109642681,,marts_registered
WP_109642683,,marts_registered
WP_150521282,,marts_registered
WP_157383393,,marts_registered
WP_186376445,,marts_registered
WP_205789436,,marts_registered
X4ZWN5,,marts_registered
X5A2Z7,,marts_registered
X5A4D6,,marts_registered
X5AHD9,,marts_registered
X5AIS9,,marts_registered
XDF46149.1,,marts_registered
XDF46150.1,,marts_registered
XDF46151.1,,marts_registered
XDF46152.1,,marts_registered
XDF46154.1,,marts_registered
XNX58198.1,,marts_registered
XP_010247958.1,,marts_registered
XP_010260723.1,,marts_registered
XP_055691875.1,,marts_registered
YP_009449088,,marts_registered
marts_E00001,,marts_registered
marts_E00039,,marts_registered
marts_E00040,,marts_registered
marts_E00058,,marts_registered
marts_E00439,,marts_registered
marts_E00440,,marts_registered
marts_E00593,,marts_registered
marts_E00594,,marts_registered
marts_E00595,,marts_registered
marts_E00596,,marts_registered
marts_E00597,,marts_registered
marts_E00628,,marts_registered
marts_E00648,,marts_registered
marts_E00649,,marts_registered
marts_E00650,,marts_registered
marts_E00746,,marts_registered
marts_E00793,,marts_registered
marts_E00794,,marts_registered
marts_E00826,,marts_registered
marts_E00827,,marts_registered
marts_E00881,,marts_registered
marts_E00882,,marts_registered
marts_E01311,,marts_registered
marts_E01335,,marts_registered
