Entry,rhea_id,protein_seen,reaction_seen,protein_cluster,reaction_cluster,protein_fold,reaction_fold
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_e7b4ed13dce41111,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_4ea065b2a78469c4,2,0
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_f0b6b1822fec7bbf,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_67805eaea5cd75f4,2,3
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_9063c0c9ffabebd5,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,2,1
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_91d7d339e1488bd0,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_4e8885af0277ca69,2,0
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_e7e4baa8593b105a,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,2,1
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_6bd0977b42d0b28e,True,False,MARTS_SEQ_b6f0fbd88ad009a3,C15_FPP_like::MARTS_RXN_6bd0977b42d0b28e,2,1
MARTS_SEQ_9306c183ff750474,MARTS_RXN_ed65fc0ae86103c3,False,False,MARTS_SEQ_71aada349df149e5,C15_FPP_like::MARTS_RXN_ed65fc0ae86103c3,2,4
MARTS_SEQ_88748d5ce575b598,MARTS_RXN_c1dd43a147d429c7,False,True,MARTS_SEQ_9adf7e2b465ef16d,C15_FPP_like::MARTS_RXN_c1dd43a147d429c7,2,4
MARTS_SEQ_2cd8f7ec415de4ae,MARTS_RXN_524236d5871c8779,True,True,MARTS_SEQ_2cd8f7ec415de4ae,C15_FPP_like::MARTS_RXN_524236d5871c8779,2,2
MARTS_SEQ_2cd8f7ec415de4ae,MARTS_RXN_484a249db6f91749,True,True,MARTS_SEQ_2cd8f7ec415de4ae,C15_FPP_like::MARTS_RXN_484a249db6f91749,2,1
MARTS_SEQ_4872094bc44700da,MARTS_RXN_b0d6adf0f8f25e7b,True,True,MARTS_SEQ_f990d06478845206,C15_FPP_like::MARTS_RXN_b0d6adf0f8f25e7b,0,3
MARTS_SEQ_40839adb6e6e61f9,MARTS_RXN_a9dae59672a6db7a,True,True,MARTS_SEQ_f990d06478845206,C15_FPP_like::MARTS_RXN_a9dae59672a6db7a,0,2
MARTS_SEQ_40839adb6e6e61f9,MARTS_RXN_d0442569d82cdfbe,True,True,MARTS_SEQ_f990d06478845206,C15_FPP_like::MARTS_RXN_d0442569d82cdfbe,0,2
MARTS_SEQ_54d80ae9335b1b77,MARTS_RXN_79949be171faa424,True,True,MARTS_SEQ_54d80ae9335b1b77,C15_FPP_like::MARTS_RXN_1f7cef5e91c21723,2,3
MARTS_SEQ_d18f9f10f4da83f5,MARTS_RXN_bbce0c9a00867f6f,False,True,MARTS_SEQ_c0a6f21564dcedc4,C20_GGPP_like::MARTS_RXN_00588b0f0a754835,1,2
MARTS_SEQ_7932e66eed20ad43,MARTS_RXN_3abc72608e40ec3b,False,False,MARTS_SEQ_7932e66eed20ad43,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf,4,4
MARTS_SEQ_2cf04ad35912e221,MARTS_RXN_9710b471174e59ab,False,True,MARTS_SEQ_7932e66eed20ad43,C20_GGPP_like::MARTS_RXN_9710b471174e59ab,4,2
MARTS_SEQ_2cf04ad35912e221,MARTS_RXN_81d5aee1c089bc90,False,True,MARTS_SEQ_7932e66eed20ad43,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe,4,1
MARTS_SEQ_508e2470f2d2ef1a,MARTS_RXN_c039ce9df6e875e8,False,True,MARTS_SEQ_508e2470f2d2ef1a,C15_FPP_like::MARTS_RXN_484a249db6f91749,1,1
MARTS_SEQ_62df2d9e988f6b67,MARTS_RXN_baa96a7e0621b577,False,True,MARTS_SEQ_9b5b566d1a60f8b8,C20_GGPP_like::MARTS_RXN_56f1be1c880d5e55,1,0
MARTS_SEQ_62df2d9e988f6b67,MARTS_RXN_8f56554fbb1e0d18,False,True,MARTS_SEQ_9b5b566d1a60f8b8,C15_FPP_like::MARTS_RXN_4e8885af0277ca69,1,0
MARTS_SEQ_62df2d9e988f6b67,MARTS_RXN_a4e96415200ab234,False,True,MARTS_SEQ_9b5b566d1a60f8b8,C10_GPP_like::MARTS_RXN_a4e96415200ab234,1,0
MARTS_SEQ_5277d592d9d8bdf9,MARTS_RXN_b0d6adf0f8f25e7b,False,True,MARTS_SEQ_29e6ce381eb50a2f,C15_FPP_like::MARTS_RXN_b0d6adf0f8f25e7b,0,3
MARTS_SEQ_0e53c91573028799,MARTS_RXN_b0d6adf0f8f25e7b,False,True,MARTS_SEQ_01c66316d8af2f4f,C15_FPP_like::MARTS_RXN_b0d6adf0f8f25e7b,3,3
MARTS_SEQ_13520d68857d753d,MARTS_RXN_2f66322fcd3079e5,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,3,1
MARTS_SEQ_13520d68857d753d,MARTS_RXN_e5945b3aed7e026a,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2e27139e482a6dfd,3,2
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,3,3
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_0bc621c08854694f,3,4
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,3,4
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_55a14b5942034dc9,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,3,2
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,3,0
MARTS_SEQ_3a0195ee743ff51f,MARTS_RXN_64e8d90fe13ffb00,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_64e8d90fe13ffb00,3,2
MARTS_SEQ_4b76885ac48ad82a,MARTS_RXN_2f66322fcd3079e5,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,3,1
MARTS_SEQ_4b76885ac48ad82a,MARTS_RXN_e5945b3aed7e026a,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2e27139e482a6dfd,3,2
MARTS_SEQ_2d5351dfbc22dee2,MARTS_RXN_64e8d90fe13ffb00,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_64e8d90fe13ffb00,3,2
MARTS_SEQ_2d5351dfbc22dee2,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_0bc621c08854694f,3,4
MARTS_SEQ_2d5351dfbc22dee2,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,3,3
MARTS_SEQ_2d5351dfbc22dee2,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,3,4
MARTS_SEQ_2d5351dfbc22dee2,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,3,0
MARTS_SEQ_502366b70ca4eddf,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,3,3
MARTS_SEQ_502366b70ca4eddf,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_0bc621c08854694f,3,4
MARTS_SEQ_502366b70ca4eddf,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,3,0
MARTS_SEQ_502366b70ca4eddf,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,3,4
MARTS_SEQ_8bd5acdd523c967e,MARTS_RXN_2f66322fcd3079e5,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,3,1
MARTS_SEQ_8bd5acdd523c967e,MARTS_RXN_e5945b3aed7e026a,True,True,MARTS_SEQ_64eaadd3d85735e1,C15_FPP_like::MARTS_RXN_2e27139e482a6dfd,3,2
MARTS_SEQ_cb785de7c4cb6c61,MARTS_RXN_64e8d90fe13ffb00,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_64e8d90fe13ffb00,3,2
MARTS_SEQ_cb785de7c4cb6c61,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_0bc621c08854694f,3,4
MARTS_SEQ_cb785de7c4cb6c61,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,3,3
MARTS_SEQ_cb785de7c4cb6c61,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,3,4
MARTS_SEQ_cb785de7c4cb6c61,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,3,0
MARTS_SEQ_05f6dc57e0f115e5,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,3,3
MARTS_SEQ_05f6dc57e0f115e5,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_0bc621c08854694f,3,4
MARTS_SEQ_05f6dc57e0f115e5,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,3,0
MARTS_SEQ_05f6dc57e0f115e5,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_da950cb15f199aeb,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,3,4
MARTS_SEQ_9e3c44e30cbd5ca8,MARTS_RXN_1b487b81876e118b,False,True,MARTS_SEQ_854ed2590c7afbf7,C15_FPP_like::MARTS_RXN_1b487b81876e118b,0,2
MARTS_SEQ_9e3c44e30cbd5ca8,MARTS_RXN_b6faae8ed504914f,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,0,3
MARTS_SEQ_9e3c44e30cbd5ca8,MARTS_RXN_54ce947e1616af93,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_54ce947e1616af93,0,4
MARTS_SEQ_3f5a62fdc1e6df9d,MARTS_RXN_c47716e3c171dcec,False,False,MARTS_SEQ_3f5a62fdc1e6df9d,C15_FPP_like::MARTS_RXN_747e481950538f21,1,3
MARTS_SEQ_a640cef31d6d6732,MARTS_RXN_f3ae22de5b08f4aa,True,True,MARTS_SEQ_a640cef31d6d6732,C15_FPP_like::MARTS_RXN_f3ae22de5b08f4aa,2,3
MARTS_SEQ_3b14dca8d4567fc5,MARTS_RXN_d976b8fff242e480,True,True,MARTS_SEQ_3b14dca8d4567fc5,C15_FPP_like::MARTS_RXN_d976b8fff242e480,1,2
MARTS_SEQ_f361b8260273b82f,MARTS_RXN_bbce0c9a00867f6f,True,True,MARTS_SEQ_186bb66edac3494c,C20_GGPP_like::MARTS_RXN_00588b0f0a754835,3,2
MARTS_SEQ_f361b8260273b82f,MARTS_RXN_2f18d5d70489a2db,True,True,MARTS_SEQ_186bb66edac3494c,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db,3,0
MARTS_SEQ_ff96f01039aced42,MARTS_RXN_6701a8c266660d4b,True,True,MARTS_SEQ_ff96f01039aced42,C15_FPP_like::MARTS_RXN_12ea767952411492,2,1
MARTS_SEQ_2fc3b11001f166c4,MARTS_RXN_0d6dcf3090a1cf2e,False,True,MARTS_SEQ_21be66e6d8097c6e,C20_GGPP_like::MARTS_RXN_0d6dcf3090a1cf2e,1,3
MARTS_SEQ_2fc3b11001f166c4,MARTS_RXN_f7bbe0adf8b8ddb5,False,True,MARTS_SEQ_21be66e6d8097c6e,C15_FPP_like::MARTS_RXN_4e8885af0277ca69,1,0
MARTS_SEQ_2fc3b11001f166c4,MARTS_RXN_8d064654eda71035,False,True,MARTS_SEQ_21be66e6d8097c6e,C10_GPP_like::MARTS_RXN_8d064654eda71035,1,4
MARTS_SEQ_c779657b71ffffb2,MARTS_RXN_2f66322fcd3079e5,False,True,MARTS_SEQ_a0eae61a142ea471,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,3,1
MARTS_SEQ_e13901553e4d7baa,MARTS_RXN_77507c68e72eca5f,False,True,MARTS_SEQ_01a2a3c85bc8db15,C10_GPP_like::MARTS_RXN_0bc621c08854694f,1,4
MARTS_SEQ_1a39c3bc071c87ad,MARTS_RXN_29704a84d49c8b3b,False,False,MARTS_SEQ_1a39c3bc071c87ad,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b,0,3
MARTS_SEQ_e49c0bb2bee335b4,MARTS_RXN_2f18d5d70489a2db,False,True,MARTS_SEQ_d15c5b1ca99b3147,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db,4,0
MARTS_SEQ_f809403cca7f5e65,MARTS_RXN_ca54c73f0f6a6fc0,False,True,MARTS_SEQ_d15c5b1ca99b3147,C20_GGPP_like::MARTS_RXN_ca54c73f0f6a6fc0,4,1
MARTS_SEQ_54190b8b020feda2,MARTS_RXN_ea56a260171d74ba,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_ea56a260171d74ba,0,4
MARTS_SEQ_54190b8b020feda2,MARTS_RXN_dd89a5b3606fb5ca,True,False,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_dd89a5b3606fb5ca,0,1
MARTS_SEQ_54190b8b020feda2,MARTS_RXN_1242a365f538e79b,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_1242a365f538e79b,0,1
MARTS_SEQ_54190b8b020feda2,MARTS_RXN_55a14b5942034dc9,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,0,2
MARTS_SEQ_7eba032bc8633f09,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,0,3
MARTS_SEQ_7eba032bc8633f09,MARTS_RXN_994ba3440a8dbed7,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_994ba3440a8dbed7,0,3
MARTS_SEQ_90a6c4970f8c4c51,MARTS_RXN_8d2492a66172fc60,True,False,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_8d2492a66172fc60,0,2
MARTS_SEQ_90a6c4970f8c4c51,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,0,3
MARTS_SEQ_90a6c4970f8c4c51,MARTS_RXN_9fe6bcba74a21a54,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_9fe6bcba74a21a54,0,3
MARTS_SEQ_90a6c4970f8c4c51,MARTS_RXN_994ba3440a8dbed7,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_994ba3440a8dbed7,0,3
MARTS_SEQ_57e766f9cee1befb,MARTS_RXN_33b3f74378db9fa9,True,False,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_33b3f74378db9fa9,0,1
MARTS_SEQ_57e766f9cee1befb,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,0,4
MARTS_SEQ_57e766f9cee1befb,MARTS_RXN_dd89a5b3606fb5ca,True,False,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_dd89a5b3606fb5ca,0,1
MARTS_SEQ_760a04f168be383a,MARTS_RXN_264d20fcc642e814,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_264d20fcc642e814,0,3
MARTS_SEQ_5b19e6091cec7b23,MARTS_RXN_994ba3440a8dbed7,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_994ba3440a8dbed7,0,3
MARTS_SEQ_5b19e6091cec7b23,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_7b9011395eaa2a91,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,0,3
